sequence,file,rows,translation_rpe_n,translation_rmse_m,translation_mean_m,translation_median_m,translation_p95_m,rotation_rpe_n,rotation_rmse_deg,rotation_mean_deg,rotation_median_deg,rotation_p95_deg,reference_gap_median_sec,reference_gap_mean_sec,reference_gap_max_sec
spot_forest_hard,covariance_metrics_optimized.csv,771,770,0.2910794878707053,0.18946646886493504,0.1403121235,0.5925288486999993,770,5.110357404620662,4.244301747592208,3.7496140789999997,9.637920760499995,0.0799999999999983,0.1221818181818182,1.84
spot_forest_hard,covariance_metrics_latest.csv,1275,1274,0.1415856224698604,0.11799844879591838,0.1202663845,0.23159421629999996,1274,3.9916234571297857,2.844370738988226,1.7724831705,8.929438308749999,0.0799999999999983,0.07999999999999999,0.0800000000000125
spot_forest_road_1,covariance_metrics_optimized.csv,551,550,0.6603416261198379,0.5078902728963636,0.397945057,1.384158532999999,550,4.150958711882647,3.0055576115890905,2.058937203,10.305446709449999,0.16000000000000014,0.2573090909090909,2.88
spot_forest_road_1,covariance_metrics_latest.csv,2185,2184,0.15521373834970092,0.13062380199679485,0.15417205,0.2311875578,2184,2.1621420501094146,1.204234976555403,0.7822503624999999,3.6209062797499962,0.0799999999999983,0.08,0.0800000000000125
spot_indoor_building_loop,covariance_metrics_optimized.csv,679,678,0.26144046625962214,0.20035979003687313,0.1455663115,0.5429279045499998,678,2.855092996064429,2.3018110699749266,2.033658837,5.008427132849999,0.0800000000000054,0.14395280235988203,2.88
spot_indoor_building_loop,covariance_metrics_latest.csv,1226,1225,0.12405072026769959,0.11212202369224489,0.129400889,0.1739675622,1225,2.1164938123049226,1.4954652399224488,0.886520418,4.3194357972,0.0799999999999983,0.08,0.0800000000000125
spot_indoor_stairs,covariance_metrics_optimized.csv,576,574,0.17415609457254577,0.13972094887630662,0.105357934,0.35376377495000016,574,1.7284484559416118,1.4148817718623694,1.157296502,3.17498534425,0.08000000000000185,0.15358885017421603,7.36
spot_indoor_stairs,covariance_metrics_latest.csv,1153,1151,0.08199644300950715,0.07165227250999132,0.083430501,0.124936775,1151,1.2121074975820492,0.8768023494031277,0.58408542,2.6259838775,0.0799999999999983,0.08000000000000002,0.0800000000000125
spot_indoor_stairwell,covariance_metrics_optimized.csv,995,0,,,,,0,,,,,,,
spot_indoor_stairwell,covariance_metrics_latest.csv,1113,0,,,,,0,,,,,,,
spot_outdoor_day_penno_short_loop,covariance_metrics_optimized.csv,670,669,0.43746923868499127,0.2962298351076233,0.201435031,0.8715243314000003,669,4.848579567435366,3.700243859889387,2.622918039,10.4385683916,0.0800000000000054,0.16047832585949176,2.88
spot_outdoor_day_penno_short_loop,covariance_metrics_latest.csv,1421,1419,0.1629070804476842,0.14112864048625795,0.174060626,0.24118989039999997,1419,3.3412550463332713,2.0988579178632842,1.115360369,9.6611989138,0.0799999999999983,0.08,0.0800000000000125
spot_outdoor_day_skatepark_1,covariance_metrics_optimized.csv,545,0,,,,,0,,,,,,,
spot_outdoor_day_skatepark_1,covariance_metrics_latest.csv,1095,0,,,,,0,,,,,,,
