sequence,file,rows,translation_rpe_n,translation_rmse_m,translation_mean_m,translation_median_m,translation_p95_m,rotation_rpe_n,rotation_rmse_deg,rotation_mean_deg,rotation_median_deg,rotation_p95_deg,latency_n,latency_mean_sec,latency_median_sec,latency_p95_sec,reference_gap_median_sec,reference_gap_mean_sec,reference_gap_max_sec
spot_forest_hard,covariance_metrics_optimized.csv,772,770,0.2909666836427864,0.18946565142077923,0.1400600025,0.5921093621999992,770,5.105381676897912,4.237999507166234,3.7251605469999998,9.637810385599995,772,1.3235553088523315,1.1332798830000002,2.3698664686499993,0.0799999999999983,0.12207792207792208,1.84
spot_forest_hard,covariance_metrics_latest.csv,1276,1274,0.1405878307269429,0.11717553090502354,0.11979389700000001,0.2311515321,1274,3.9913756342644957,2.842678114576138,1.7715293125,8.92479643255,1276,0.1521803240783699,0.103911622,0.469188773,0.0799999999999983,0.07999999999999999,0.0800000000000125
spot_forest_road_1,covariance_metrics_optimized.csv,551,549,0.6609850210254523,0.5088645755956285,0.398323066,1.3862519118000005,549,4.154750919100322,3.010988809,2.068674879,10.306298612800001,551,2.522756399958258,2.272578192,4.879363101999999,0.16000000000000014,0.257632058287796,2.88
spot_forest_road_1,covariance_metrics_latest.csv,2186,2184,0.15502999626726066,0.13054642801419414,0.1541986125,0.2312436725,2184,2.1622214541680376,1.2043654180471612,0.7836117855,3.6208799938999956,2186,0.10324783702927723,0.0986799415,0.140881939,0.0799999999999983,0.07999999999999999,0.0800000000000125
spot_indoor_building_loop,covariance_metrics_optimized.csv,675,673,0.2652866154692672,0.20190351332392276,0.145877537,0.5527367841999999,673,2.873266033557833,2.3285048663491827,2.063915243,5.024925835999999,675,1.5028218570207408,1.389195656,2.3193676077,0.0800000000000054,0.14502228826151561,2.96
spot_indoor_building_loop,covariance_metrics_latest.csv,1228,1226,0.12411377569168817,0.11216734057177816,0.129664862,0.1733925725,1226,2.1167606073858223,1.4964980384918436,0.8773883395,4.32098534,1228,0.09348658469381109,0.092342623,0.11005026635,0.0799999999999983,0.08000000000000002,0.0800000000000125
spot_indoor_stairs,covariance_metrics_optimized.csv,570,568,0.1751881638588179,0.14116097874295777,0.1054855135,0.35910644859999996,568,1.7413076633338953,1.422273491190141,1.15934376,3.18956491835,570,1.5399035945245614,1.2894786475,2.7887245880999996,0.08000000000000185,0.15492957746478872,7.36
spot_indoor_stairs,covariance_metrics_latest.csv,1152,1149,0.08219906914869386,0.07178044222454308,0.083509681,0.12592172219999997,1149,1.2132990874918035,0.8776137567980854,0.583325289,2.6139628417999985,1152,0.08864610546440972,0.086616814,0.10953106255000003,0.0799999999999983,0.08000000000000002,0.0800000000000125
spot_indoor_stairwell,covariance_metrics_optimized.csv,995,0,,,,,0,,,,,995,1.0735598060160805,0.994184747,1.6418919348,,,
spot_indoor_stairwell,covariance_metrics_latest.csv,1114,0,,,,,0,,,,,1114,0.07780553219479355,0.07640751400000001,0.10468610014999996,,,
spot_outdoor_day_penno_short_loop,covariance_metrics_optimized.csv,670,668,0.4372607022091581,0.2963022527080838,0.201812677,0.8686146188999997,668,4.852096472395106,3.704860371416167,2.626601173,10.43882170675,670,1.6462388537791046,1.478328489,3.6286195434499984,0.0800000000000054,0.16059880239520957,2.88
spot_outdoor_day_penno_short_loop,covariance_metrics_latest.csv,1422,1419,0.16254800254788254,0.14086718883791402,0.175211284,0.23887765,1419,3.341487931963531,2.0993746820112755,1.115488438,9.660974461199999,1422,0.10005160115260198,0.098443418,0.12556572565,0.0799999999999983,0.08,0.0800000000000125
spot_outdoor_day_skatepark_1,covariance_metrics_optimized.csv,545,543,0.21883038724959877,0.12187947129281768,0.053908886,0.4953532936999998,543,5.4847756080331145,4.666952584677716,4.014835773,10.2142662319,545,1.6648799204697247,1.415426049,3.4401322913999994,0.08000000000000007,0.16117863720073666,3.6000000000000005
spot_outdoor_day_skatepark_1,covariance_metrics_latest.csv,1096,1093,0.08588986906232388,0.06498935329734676,0.049401232,0.1723485011999998,1093,3.8538511086529086,2.6357168453430924,1.420708461,9.109816348199999,1096,0.11062980309306569,0.10146011199999999,0.156172194,0.0799999999999983,0.08,0.0800000000000125
