time_sec,submit_to_publish_latency_sec,matched_gt_time_sec,gt_time_diff_sec,reference_time_sec,rpe_translation_m,rpe_rotation_deg,pose_position_cov_trace_m2,pose_rotation_cov_trace_rad2,feature_count,tracked_feature_count,long_track_count,new_feature_count,outlier_count,avg_parallax_px,avg_reprojection_error_px,max_reprojection_error_px,reprojection_sample_count,latest_frame_active_reprojection_sum_px,latest_frame_active_reprojection_mean_px,latest_frame_active_reprojection_sample_count,marginalization_flag,frame_count
2.960000000,0.337212802,2.960000000,0.007674000,nan,nan,nan,nan,nan,271,242,216,14,0,7.302650224,0.000000000,0.000000000,0,0.000000000,0.000000000,0,1,10
3.040000000,0.355171952,3.040000000,0.029131000,nan,nan,nan,14936.371325652,756.013275499,287,231,197,25,0,12.082887083,0.294917334,3.812580467,2352,116.313648346,0.503522287,231,0,10
3.120000000,0.353923820,3.120000000,0.050305000,3.040000000,0.174390377,0.560483100,45224.354369792,0.254126124,298,229,194,27,0,10.124908707,0.313721458,3.841480836,2305,96.933048358,0.425144949,228,0,10
3.200000000,0.349636076,3.200000000,0.029695000,3.120000000,0.203875278,1.370325151,17030.289696821,0.099700481,280,230,195,26,0,10.942881152,0.476089595,7.055976668,2267,363.550042215,1.580652357,230,0,10
3.280000000,0.313575315,3.280000000,0.009677000,3.200000000,0.194601629,0.316145010,2132.749756126,0.032266758,278,235,196,21,1,9.164361947,0.552052028,18.548347527,2170,256.688828237,1.092292886,235,1,10
3.360000000,0.351763580,3.360000000,0.010239000,3.280000000,0.174807309,0.301331996,23559.734971073,0.018474742,268,228,179,28,0,13.263136009,0.408798580,8.374107948,2127,221.296389504,0.970598200,228,0,10
3.440000000,0.351417764,3.440000000,0.029962000,3.360000000,0.206940820,1.230734437,4417.750392785,0.007306879,270,233,181,23,0,11.377278907,0.463336724,8.243440428,2080,185.678290447,0.796902534,233,0,10
3.520000000,0.327660632,3.520000000,0.049302000,3.440000000,0.229417310,0.646873517,12475.260719320,0.004714937,268,233,201,23,0,9.114102663,0.567518526,9.142889953,2111,256.852260727,1.102370218,233,1,10
3.600000000,0.319352530,3.600000000,0.030698000,3.520000000,0.211623665,0.724712841,5733.307698478,0.003359093,289,238,192,18,0,14.426952975,0.579776590,10.369420477,2087,191.978540040,0.806632521,238,0,10
3.680000000,0.296796810,3.680000000,0.011304000,3.600000000,0.196246406,0.487390668,7957.445114704,0.003601518,287,229,195,27,0,7.752721188,0.704537656,10.095401872,2108,262.822235853,1.147695353,229,1,10
3.760000000,0.294096135,3.760000000,0.008478000,3.680000000,0.223024356,0.328307242,0.000516345,0.003013643,281,232,179,24,1,12.814806030,0.712054544,10.184941862,2074,231.750635934,0.998925155,232,0,10
3.840000000,0.290017667,3.840000000,0.028249000,3.760000000,0.261475151,1.181441107,21403.534807291,0.002277835,285,233,191,23,0,10.452322236,0.732001845,9.287577067,2072,316.192372054,1.357048807,233,0,10
