time_sec,submit_to_publish_latency_sec,matched_gt_time_sec,gt_time_diff_sec,reference_time_sec,rpe_translation_m,rpe_rotation_deg,pose_position_cov_trace_m2,pose_rotation_cov_trace_rad2,feature_count,tracked_feature_count,long_track_count,new_feature_count,outlier_count,avg_parallax_px,avg_reprojection_error_px,max_reprojection_error_px,reprojection_sample_count,latest_frame_active_reprojection_sum_px,latest_frame_active_reprojection_mean_px,latest_frame_active_reprojection_sample_count,marginalization_flag,frame_count
0.320000000,3.145650055,0.320000000,0.043092000,nan,nan,nan,16931.051277441,756.013300722,287,231,197,25,0,12.082887083,0.294917334,3.812580467,2352,116.313648346,0.503522287,231,0,10
0.400000000,3.153576566,0.400000000,0.036908000,nan,nan,nan,45223.827168138,0.254123563,298,229,194,27,0,10.124908707,0.313721458,3.841480836,2305,96.933048358,0.425144949,228,0,10
0.480000000,3.154979605,0.480000000,0.017046000,0.400000000,0.000929891,0.094989274,17030.606454509,0.099699959,312,230,195,26,0,10.942881152,0.476089595,7.055976668,2267,363.550042215,1.580652357,230,0,10
0.560000000,3.214699228,0.560000000,0.002839000,0.480000000,0.001633974,0.398769647,23559.735547424,0.018471597,288,228,179,28,0,13.263136009,0.408798580,8.374107948,2127,221.296389504,0.970598200,228,0,10
0.640000000,3.258149071,0.640000000,0.022758000,0.560000000,0.000792533,0.367943928,4417.750182154,0.007308195,284,233,181,23,0,11.377278907,0.463336724,8.243440428,2080,185.678290447,0.796902534,233,0,10
0.720000000,3.317330594,0.720000000,0.042727000,0.640000000,0.000394016,1.078345052,5733.308324836,0.003359644,296,238,192,18,0,14.426952975,0.579776590,10.369420477,2087,191.978540040,0.806632521,238,0,10
2.560000000,1.603365542,2.560000000,0.003204000,0.720000000,0.270909407,0.820211892,0.000320631,0.003013428,297,232,179,24,1,12.814806030,0.712054544,10.184941862,2074,231.750635934,0.998925155,232,0,10
2.720000000,1.506555325,2.720000000,0.044726000,2.560000000,0.261753695,0.389322133,21403.521701984,0.002277129,301,233,191,23,0,10.452322236,0.732001845,9.287577067,2072,316.192372054,1.357048807,233,0,10
2.800000000,1.498287030,2.800000000,0.035274000,2.720000000,0.135681348,0.873068657,8581.034417952,0.001682243,310,234,204,22,0,11.650013526,0.727777090,8.431885946,2099,247.241322258,1.056586847,234,0,10
2.960000000,1.460758878,2.960000000,0.007674000,2.800000000,0.329443169,0.506286149,2697.132640771,0.000795708,294,227,178,29,0,19.593879697,0.765005446,6.263859397,2030,281.476206510,1.239983289,227,0,10
3.040000000,1.448283349,3.040000000,0.029131000,2.960000000,0.146777776,0.352445913,127455.873114624,0.000810896,290,236,179,20,2,11.824500951,0.917756141,10.646930442,2022,498.848434638,2.113764554,236,0,10
3.120000000,1.436750936,3.120000000,0.050305000,3.040000000,0.174416949,0.670320767,87355.119350067,0.000778121,299,234,201,22,1,10.316684667,0.938673483,7.239471586,2052,296.276497394,1.266138878,234,0,10
3.280000000,1.400207465,3.280000000,0.009677000,3.120000000,0.389581936,1.145083709,178968.402390380,0.000653912,292,233,183,23,0,15.813569619,0.934308881,7.304803948,2019,212.325045215,0.911266288,233,0,10
3.360000000,1.448267285,3.360000000,0.010239000,3.280000000,0.172109314,0.512036237,8058.442151955,0.000522102,284,230,169,26,0,16.162691202,1.010110590,7.175992763,1986,327.704549318,1.424802388,230,0,10
3.520000000,1.394324749,3.520000000,0.049302000,3.360000000,0.435621235,1.421278478,114457.591525718,0.000403028,304,236,174,20,0,19.951803719,1.080445568,5.608230085,2011,365.119766848,1.547117656,236,0,10
3.680000000,1.409553143,3.680000000,0.011304000,3.520000000,0.405913051,1.093967372,4198.771730939,0.000245016,292,240,183,16,0,16.822872810,1.085923767,6.146090196,1970,329.359441847,1.372331008,240,0,10
3.760000000,1.506779894,3.760000000,0.008478000,3.680000000,0.220275161,0.591124181,8067.753810690,0.000185245,301,228,177,28,0,18.671657279,1.096820218,4.822176099,1964,387.728011288,1.700561453,228,0,10
3.840000000,1.485581745,3.840000000,0.028249000,3.760000000,0.251944799,1.337474489,5118.683384617,0.000165661,309,236,190,20,0,10.032851011,1.140650609,3.856863814,1995,298.989991153,1.266906742,236,0,10
4.000000000,1.505150810,4.000000000,0.032146000,3.840000000,0.411876037,0.985223155,72435.899726530,0.000152246,297,225,173,31,1,20.827708736,1.056780919,4.825920952,1946,278.821294796,1.239205755,225,0,10
4.080000000,1.501347087,4.080000000,0.012147000,4.000000000,0.196350828,0.842160317,8505.922038751,0.000137296,301,227,172,29,0,17.179096491,1.044593512,7.317587165,1946,205.829576757,0.906738224,227,0,10
