time_sec,submit_to_publish_latency_sec,matched_gt_time_sec,gt_time_diff_sec,reference_time_sec,rpe_translation_m,rpe_rotation_deg,pose_position_cov_trace_m2,pose_rotation_cov_trace_rad2,feature_count,tracked_feature_count,long_track_count,new_feature_count,outlier_count,avg_parallax_px,avg_reprojection_error_px,max_reprojection_error_px,reprojection_sample_count,latest_frame_active_reprojection_sum_px,latest_frame_active_reprojection_mean_px,latest_frame_active_reprojection_sample_count,marginalization_flag,frame_count
4.240000000,0.368318438,4.240000000,0.044614000,nan,nan,nan,nan,nan,301,229,182,27,0,17.348450651,0.000000000,0.000000000,0,0.000000000,0.000000000,0,0,10
4.320000000,0.378253866,4.320000000,0.023630000,nan,nan,nan,63331.705919161,0.140308970,317,233,188,23,1,11.350431437,0.996550531,481.071897939,2260,291.681313599,1.273717527,229,0,10
4.400000000,0.345228731,4.400000000,0.003127000,4.320000000,0.209765341,0.312150379,0.003042553,0.030743675,314,222,186,34,0,8.102110267,0.398192139,4.002316967,2195,135.286181446,0.609397214,222,1,10
4.480000000,0.337528151,4.480000000,0.017515000,4.400000000,0.183146519,0.434502960,16842.799968408,0.030906818,301,225,166,31,0,14.271507231,0.432682282,4.919895696,2144,190.662982659,0.847391034,225,0,10
4.560000000,0.335166886,4.560000000,0.037527000,4.480000000,0.235768752,0.697233994,6934.582171961,0.015269453,274,232,172,24,0,12.292866840,0.476524114,9.192875537,2030,183.059577061,0.789049901,232,0,10
4.640000000,0.296520456,4.640000000,0.042473000,4.560000000,0.232991933,0.352785344,33305.418037331,0.010542887,271,231,196,25,0,7.304999020,0.518365249,9.911302156,1999,123.356934034,0.536334496,230,1,10
4.720000000,0.281480084,4.720000000,0.022823000,4.640000000,0.209634003,0.303981934,17561.252241139,0.010053618,288,235,181,21,0,14.055503938,0.515276558,4.316841996,1953,131.595853990,0.559982357,235,0,10
4.800000000,0.253513978,4.800000000,0.003091000,4.720000000,0.200673649,0.740355433,19581.882772614,0.007762091,286,229,183,27,0,7.908779034,0.538406545,4.269654044,1963,130.213079383,0.568616067,229,1,10
4.880000000,0.235132499,4.880000000,0.016807000,4.800000000,0.242916875,1.303790301,11644.948730391,0.007417512,280,216,163,40,0,12.322543992,0.581478102,4.743949393,1920,180.195618215,0.834238973,216,0,10
4.960000000,0.220426816,4.960000000,0.036124000,4.880000000,0.238700076,2.786058653,29327.577444320,0.006736598,288,234,177,22,0,11.108660169,0.613690858,4.196598692,1942,221.373703849,0.946041469,234,0,10
5.040000000,0.209846746,5.040000000,0.043876000,4.960000000,0.196359943,3.385177101,26966.370966920,0.007020017,279,221,182,35,0,17.619945647,0.656311915,4.491445774,1975,245.320173177,1.110046032,221,0,10
5.120000000,0.197485173,5.120000000,0.024301000,5.040000000,0.196664086,4.671950400,16939.349298599,0.004087741,271,147,131,109,1,0.000000000,0.768918054,63.852504983,1892,187.208321941,1.282248780,146,0,10
5.200000000,0.184202876,5.200000000,0.004611000,5.120000000,0.212675687,3.641929727,9527.566433547,0.002537120,258,227,130,29,0,33.523716450,0.682440071,5.096917219,1822,333.154873860,1.467642616,227,0,10
5.280000000,0.169723933,5.280000000,0.015287000,5.200000000,0.237904935,1.050220789,6691.429811780,0.001390717,247,235,133,21,0,16.095824112,0.684058639,4.458494660,1770,258.844312333,1.101465159,235,0,10
5.360000000,0.162259290,5.360000000,0.036324000,5.280000000,0.178219504,1.593150508,3595.311129561,0.000689895,296,224,196,32,1,14.874410533,0.704905188,6.031106456,1902,177.785682316,0.793686082,224,0,10
5.440000000,0.144756350,5.440000000,0.043676000,5.360000000,0.177892812,0.725716321,18351.175184417,0.000467638,301,220,189,36,1,12.969196362,0.713571054,5.521003315,1913,161.076803721,0.732167290,220,0,10
5.520000000,0.134275391,5.520000000,0.021903000,5.440000000,0.232739323,0.526328819,17974.918183705,0.000377094,299,227,188,29,0,12.157347053,0.734157005,5.490013147,1950,185.686222493,0.818000980,227,0,10
5.600000000,0.110442734,5.600000000,0.000825000,5.520000000,0.216703344,0.612281693,1682.918724095,0.000291869,297,228,185,28,0,9.659709967,0.771632952,5.472960111,1947,197.873460499,0.867866055,228,1,10
5.680000000,0.114841370,5.680000000,0.019379000,5.600000000,0.187238843,0.703018164,36284.917071548,0.000275346,238,120,100,136,0,0.000000000,0.739580973,5.466974902,1833,96.202359964,0.801686333,120,0,10
5.760000000,0.101458062,5.760000000,0.038805000,5.680000000,0.203859120,0.224080981,9449.902477788,0.000236378,241,218,105,38,0,12.094530797,0.808042019,6.560938210,1647,129.240296529,0.592845397,218,0,10
5.840000000,0.104786147,5.840000000,0.041195000,5.760000000,0.238418281,0.990822830,9524.805401229,0.000211664,244,230,111,26,0,11.361649494,0.746011980,5.389458186,1637,261.561764367,1.137225062,230,0,10
5.920000000,0.097560354,5.920000000,0.022065000,5.840000000,0.208750530,0.538466249,9711.594392682,0.000193660,243,227,183,29,0,7.879611836,0.750953518,5.384961741,1838,192.936423953,0.849940194,227,1,10
6.000000000,0.110666177,6.000000000,0.002746000,5.920000000,0.186246044,0.249631001,6973.569493110,0.000191616,304,223,166,33,0,13.122988044,0.731753514,5.378416831,1781,234.442902473,1.051313464,223,0,10
6.080000000,0.125714909,6.080000000,0.016833000,6.000000000,0.219392109,0.374698253,28294.852875152,0.000182405,304,227,176,29,0,11.374315341,0.744617380,5.876354344,1854,179.600295465,0.791190729,227,0,10
6.160000000,0.096078064,6.160000000,0.036328000,6.080000000,0.232578958,1.136988999,6731.361024535,0.000173903,297,212,180,44,3,7.961831255,0.991467386,4.458486006,1849,223.892546937,1.056096920,212,1,10
6.240000000,0.111334158,6.240000000,0.043672000,6.160000000,0.204060912,0.381862898,10762.149090363,0.000176010,283,148,118,108,0,0.000000000,0.975788527,7.273799163,1711,146.096420226,0.987137974,148,0,10
6.320000000,0.089607405,6.320000000,0.024005000,6.240000000,0.173704085,0.389546539,20969.643902891,0.000170304,281,226,122,30,0,3.670959679,0.542351721,7.037394055,1614,108.602922695,0.480543906,226,1,10
6.400000000,0.081603342,6.400000000,0.003850000,6.320000000,0.223577164,0.588942277,14923.615622009,0.000169982,280,232,118,24,0,9.442361131,0.536731469,5.205299926,1594,162.575577526,0.700756800,232,1,10
6.480000000,0.116294611,6.480000000,0.016151000,6.400000000,0.239186475,0.546910576,4297.579810303,0.000168675,207,219,110,37,0,12.731690998,0.552486430,3.598619060,1579,226.271984162,1.033205407,219,0,10
6.560000000,0.096338318,6.560000000,0.036157000,6.480000000,0.198275542,0.358579340,7537.982343089,0.000161774,221,237,124,19,0,10.911856067,0.541650077,4.713283116,1410,206.848968289,0.876478679,236,0,10
6.640000000,0.095481309,6.640000000,0.043843000,6.560000000,0.206086247,0.444819495,0.000100824,0.000159209,221,238,201,18,1,3.473031225,0.536760536,6.804274476,1664,132.564952838,0.556995600,238,1,10
6.720000000,0.089499899,6.720000000,0.023765000,6.640000000,0.222407051,0.737152855,35143.765117803,0.000158326,221,242,194,14,0,5.629491063,0.614102738,4.709869050,1648,305.700858913,1.263226690,242,1,10
6.800000000,0.087178628,6.800000000,0.003862000,6.720000000,0.227345130,0.912109374,44091.242254723,0.000157901,218,239,189,17,1,6.738609811,0.628573083,3.694822669,1638,250.408882598,1.047735910,239,1,10
6.880000000,0.089040664,6.880000000,0.016121000,6.800000000,0.198863353,0.307048063,20662.545329123,0.000157292,215,206,162,50,0,7.170629503,0.562106993,3.321125707,1564,215.101549342,1.044182278,206,1,10
6.960000000,0.096600606,6.960000000,0.036570000,6.880000000,0.211828304,0.209663246,5932.848111182,0.000156960,215,248,161,8,0,5.518094312,0.582393050,4.234210977,1549,236.922949484,0.955334474,248,1,10
7.040000000,0.094836607,7.040000000,0.043430000,6.960000000,0.243332218,0.888105314,3801.949337522,0.000156737,215,250,159,6,0,8.276389528,0.566377549,5.761776263,1544,284.503321721,1.138013287,250,1,10
7.120000000,0.106534535,7.120000000,0.023163000,7.040000000,0.229588859,0.669201656,111038.438694679,0.000157144,215,226,149,30,0,8.723539100,0.577067440,6.017794714,1527,327.500905324,1.449119050,226,1,10
7.200000000,0.102641593,7.200000000,0.003097000,7.120000000,0.195684554,0.190410505,13599.057556766,0.000156646,215,250,147,6,0,7.227637635,0.573728399,7.660082475,1514,331.464351765,1.325857407,250,1,10
7.280000000,0.102879258,7.280000000,0.017038000,7.200000000,0.216230803,0.217209868,24844.097857472,0.000155789,215,252,146,4,0,7.652362605,0.571286943,8.192640563,1511,344.784563824,1.373643681,251,1,10
7.360000000,0.102790790,7.360000000,0.037024000,7.280000000,0.250872925,1.024900326,4019.687351949,0.000154833,215,246,144,10,0,9.760320487,0.612565028,9.557470149,1505,443.553006782,1.803061003,246,1,10
7.440000000,0.110949779,7.440000000,0.042976000,7.360000000,0.227175001,0.409880313,29625.926709916,0.000154257,251,251,142,5,1,10.474288682,0.583269583,10.434053063,1501,407.700149667,1.624303385,251,0,10
