time_sec,submit_to_publish_latency_sec,matched_gt_time_sec,gt_time_diff_sec,reference_time_sec,rpe_translation_m,rpe_rotation_deg,pose_position_cov_trace_m2,pose_rotation_cov_trace_rad2,feature_count,tracked_feature_count,long_track_count,new_feature_count,outlier_count,avg_parallax_px,avg_reprojection_error_px,max_reprojection_error_px,reprojection_sample_count,latest_frame_active_reprojection_sum_px,latest_frame_active_reprojection_mean_px,latest_frame_active_reprojection_sample_count,marginalization_flag,frame_count
0.400000000,4.390989736,0.400000000,0.007861000,nan,nan,nan,63330.927438285,0.140307252,317,233,188,23,1,11.350431437,0.996550531,481.071897939,2260,291.681313599,1.273717527,229,0,10
0.480000000,4.447773635,0.480000000,0.012054000,nan,nan,nan,16842.778744001,0.030904267,334,225,166,31,0,14.271507231,0.432682282,4.919895696,2144,190.662982659,0.847391034,225,0,10
0.560000000,4.452244732,0.560000000,0.032030000,0.480000000,0.000470064,0.144588730,6934.590037105,0.015267673,316,232,172,24,0,12.292866840,0.476524114,9.192875537,2030,183.059577061,0.789049901,232,0,10
0.640000000,4.496673801,0.640000000,0.047970000,0.560000000,0.000779910,0.242721063,17561.271108659,0.010052245,302,235,181,21,0,14.055503938,0.515276558,4.316841996,1953,131.595853990,0.559982357,235,0,10
0.720000000,4.543896081,0.720000000,0.027965000,0.640000000,0.000783319,0.559144046,11644.934992140,0.007415909,298,216,163,40,0,12.322543992,0.581478102,4.743949393,1920,180.195618215,0.834238973,216,0,10
3.600000000,1.707183049,3.600000000,0.007636000,0.720000000,0.343201683,0.251482917,29327.644647590,0.006735284,301,234,177,22,0,11.108660169,0.613690858,4.196598692,1942,221.373703849,0.946041469,234,0,10
3.840000000,1.525680426,3.840000000,0.047115000,3.600000000,0.417941324,0.439392638,26966.358932918,0.007018165,309,221,182,35,0,17.619945647,0.656311915,4.491445774,1975,245.320173177,1.110046032,221,0,10
4.000000000,1.428279724,4.000000000,0.006223000,3.840000000,0.371551597,0.537215607,16939.350961035,0.004085494,289,147,131,109,1,0.000000000,0.768918054,63.852504983,1892,187.208321941,1.282248780,146,0,10
4.160000000,1.332091988,4.160000000,0.035386000,4.000000000,0.344340687,0.203137382,9527.572365275,0.002535797,277,227,130,29,0,33.523716450,0.682440071,5.096917219,1822,333.154873860,1.467642616,227,0,10
4.240000000,1.311440000,4.240000000,0.044614000,4.160000000,0.204894868,0.484476524,6691.429153071,0.001389605,267,235,133,21,0,16.095824112,0.684058639,4.458494660,1770,258.844312333,1.101465159,235,0,10
4.400000000,1.208957012,4.400000000,0.003127000,4.240000000,0.409352815,1.224661494,3595.311482842,0.000689139,313,224,196,32,1,14.874410533,0.704905188,6.031106456,1902,177.785682316,0.793686082,224,0,10
4.480000000,1.194199430,4.480000000,0.017515000,4.400000000,0.184401042,0.546291553,18351.174826511,0.000467240,308,220,189,36,1,12.969196362,0.713571054,5.521003315,1913,161.076803721,0.732167290,220,0,10
4.640000000,1.093183773,4.640000000,0.042473000,4.480000000,0.454664747,0.787802782,17974.918055134,0.000376643,315,227,188,29,0,12.157347053,0.734157005,5.490013147,1950,185.686222493,0.818000980,227,0,10
4.800000000,1.067984506,4.800000000,0.003091000,4.640000000,0.403009881,0.852237629,36284.917141424,0.000275070,301,120,100,136,0,0.000000000,0.739580973,5.466974902,1833,96.202359964,0.801686333,120,0,10
4.880000000,1.050725293,4.880000000,0.016807000,4.800000000,0.239340803,1.189117477,9449.901898266,0.000236288,246,218,105,38,0,12.094530797,0.808042019,6.560938210,1647,129.240296529,0.592845397,218,0,10
4.960000000,1.052662404,4.960000000,0.036124000,4.880000000,0.228457512,2.700042968,9524.804944865,0.000211659,250,230,111,26,0,11.361649494,0.746011980,5.389458186,1637,261.561764367,1.137225062,230,0,10
5.040000000,1.140736003,5.040000000,0.043876000,4.960000000,0.201226771,3.375188685,6973.569251555,0.000191696,308,223,166,33,0,13.122988044,0.731753514,5.378416831,1781,234.442902473,1.051313464,223,0,10
5.120000000,1.153016727,5.120000000,0.024301000,5.040000000,0.192069526,4.746665971,28294.851504921,0.000182559,323,227,176,29,0,11.374315341,0.744617380,5.876354344,1854,179.600295465,0.791190729,227,0,10
5.200000000,1.235161773,5.200000000,0.004611000,5.120000000,0.229601570,3.580559958,10762.148899503,0.000176067,308,148,118,108,0,0.000000000,0.975788527,7.273799163,1711,146.096420226,0.987137974,148,0,10
5.280000000,1.412229384,5.280000000,0.015287000,5.200000000,0.232046881,0.915952049,4297.579587762,0.000168793,286,219,110,37,0,12.731690998,0.552486430,3.598619060,1579,226.271984162,1.033205407,219,0,10
5.360000000,1.390064494,5.360000000,0.036324000,5.280000000,0.189121079,1.336072797,7537.982140704,0.000161922,224,237,124,19,0,10.911856067,0.541650077,4.713283116,1410,206.848968289,0.876478679,236,0,10
5.440000000,2.227801809,5.440000000,0.043676000,5.360000000,0.191195758,0.658025783,29625.928479056,0.000154074,260,251,142,5,1,10.474288682,0.583269583,10.434053063,1501,407.700149667,1.624303385,251,0,10
5.600000000,2.450966029,5.600000000,0.000825000,5.440000000,0.445494227,0.685187300,17739.697167214,0.000148575,259,247,147,9,1,10.429559465,0.574755445,6.777401777,1526,598.059876643,2.421295047,247,0,10
5.680000000,2.871324571,5.680000000,0.019379000,5.600000000,0.186236917,0.339341037,8487.990310651,0.000143714,314,237,193,19,0,10.348980503,0.608435089,8.051294390,1718,346.758887867,1.463117670,237,0,10
5.760000000,3.033280216,5.760000000,0.038805000,5.680000000,0.204213316,0.279694164,8081.247380239,0.000140310,303,249,207,7,2,13.599001816,0.641154773,5.868856702,1734,321.903034107,1.292783270,249,0,10
5.920000000,3.221388869,5.920000000,0.022065000,5.760000000,0.448320589,0.858755423,2895.602405215,0.000136307,264,242,207,14,0,11.197638579,0.742519920,5.275591404,1685,403.666683142,1.668044145,242,0,10
6.000000000,3.455626439,6.000000000,0.002746000,5.920000000,0.185264892,0.398865351,87785.241863193,0.000131262,271,251,208,5,0,12.300465999,0.810836606,5.478488096,1787,328.886388390,1.310304336,251,0,10
6.160000000,3.610342986,6.160000000,0.036328000,6.000000000,0.435521411,1.012847876,28336.860154347,0.000127016,251,244,202,12,1,11.595709530,0.814854796,6.557229913,1811,349.935106610,1.434160273,244,0,10
6.400000000,3.508218963,6.400000000,0.003850000,6.160000000,0.620019565,0.361266377,31109.514728031,0.000126428,263,243,211,13,1,17.502208046,0.789974551,6.388465238,1930,245.822867418,1.011616738,243,0,10
6.480000000,3.588733869,6.480000000,0.016151000,6.400000000,0.238955522,0.489489790,36547.999633125,0.000117359,266,249,213,7,0,20.696384667,0.794118396,6.368313873,1998,274.918679263,1.104091081,249,0,10
7.360000000,2.763319785,7.360000000,0.037024000,6.480000000,2.406354952,1.122444862,71611.506995207,0.000116851,275,244,218,12,1,20.477623321,0.662475481,6.521784944,2110,190.712288396,0.781607739,244,0,10
7.760000000,2.437145223,7.760000000,0.036683000,7.360000000,1.083592017,0.854075764,14424.002837931,0.000115385,285,234,221,22,0,19.398494019,0.624570659,6.483876833,2166,172.721251720,0.738125007,234,0,10
8.240000000,2.034455435,8.240000000,0.042140000,7.760000000,1.330670855,0.614365345,32480.995117523,0.000114940,273,236,220,20,0,19.233884863,0.606333870,5.760894721,2177,242.028971027,1.025546487,236,0,10
8.480000000,1.866018927,8.480000000,0.017831000,8.240000000,0.610227592,2.207941864,28530.053610926,0.000112637,263,240,214,16,1,14.432133763,0.593361244,6.030076479,2188,197.470469942,0.822793625,240,0,10
8.880000000,1.762054275,8.880000000,0.016847000,8.480000000,1.126034365,1.666018148,27489.071186887,0.000103139,268,246,214,10,0,12.482668734,0.579219646,5.239334284,2215,215.700622286,0.876831798,246,0,10
9.200000000,1.808563977,9.200000000,0.002974000,8.880000000,0.862345809,1.233286073,7909.490975819,0.000099737,266,250,205,6,0,10.507241231,0.598535544,7.231407440,2207,322.806216757,1.291224867,250,0,10
9.520000000,2.056093296,9.520000000,0.021639000,9.200000000,0.902539789,1.716036999,206442.338342379,0.000096841,270,244,158,12,0,11.058792345,0.536351951,3.956406488,2122,522.167999743,2.140032786,244,0,10
9.680000000,2.134938232,9.680000000,0.018842000,9.520000000,0.417006109,3.387869751,32206.523204416,0.000095289,279,242,165,14,0,11.851527230,0.543456827,3.902979466,2091,352.874690689,1.458159879,242,0,10
9.840000000,2.063364192,9.840000000,0.040974000,9.680000000,0.453078149,4.164822721,0.000193157,0.000092510,319,244,214,12,0,13.980022808,0.546516974,4.473927546,2170,260.876046745,1.073563978,243,0,10
9.920000000,2.064531152,9.920000000,0.021483000,9.840000000,0.201574530,3.955648969,3107.499768896,0.000089951,328,235,216,21,0,20.887158667,0.552422763,5.903596679,2180,160.208573520,0.681738611,235,0,10
10.000000000,2.074258072,10.000000000,0.001659000,9.920000000,0.200660780,3.499563735,69901.147262147,0.000087460,323,234,213,22,0,17.263607932,0.554468993,5.612207083,2163,177.746258576,0.759599396,234,0,10
