time_sec,submit_to_publish_latency_sec,matched_gt_time_sec,gt_time_diff_sec,reference_time_sec,rpe_translation_m,rpe_rotation_deg,pose_position_cov_trace_m2,pose_rotation_cov_trace_rad2,feature_count,tracked_feature_count,long_track_count,new_feature_count,outlier_count,avg_parallax_px,avg_reprojection_error_px,max_reprojection_error_px,reprojection_sample_count,latest_frame_active_reprojection_sum_px,latest_frame_active_reprojection_mean_px,latest_frame_active_reprojection_sample_count,marginalization_flag,frame_count
0.160000000,4.123717637,0.160000000,0.030172000,nan,nan,nan,6705.796073965,0.008813770,134,170,82,82,0,23.017898313,0.425128035,8.712704681,1233,211122.409588545,1241.896526991,170,0,10
0.240000000,4.082192359,0.240000000,0.010261000,nan,nan,nan,13879.608275869,0.000783705,113,169,100,43,30,21.029080076,18.713459881,4988.332919487,1214,12940.671896361,76.572023055,169,0,10
0.320000000,4.040299212,0.320000000,0.009740000,0.240000000,0.000772467,0.327070978,15906.333041265,0.000681249,147,141,111,82,3,0.000000000,0.632948089,14.501835304,1024,436.331671207,3.094550860,141,0,10
0.400000000,4.199331557,0.400000000,0.029795000,0.320000000,0.000537946,0.700768899,8579.519803988,0.000626700,136,135,92,31,0,28.384567268,0.858783911,22.746279767,945,876.311597309,6.491197017,135,0,10
0.480000000,4.512411112,0.480000000,0.049902000,0.400000000,0.000827922,0.823207872,44235.706881045,0.000466055,129,145,79,31,2,22.849895497,0.900010046,10.667785150,892,475.404760149,3.278653518,145,0,10
0.560000000,4.593170480,0.560000000,0.030098000,0.480000000,0.000685688,0.266203014,9054.848600697,0.000408010,132,125,79,131,0,0.000000000,0.917964203,8.600251014,852,403.173869340,3.225390955,125,0,10
0.640000000,4.821159319,0.640000000,0.009957000,0.560000000,0.000636146,0.173458229,30891.730982145,0.000408149,112,154,77,102,1,0.000000000,1.140997961,7.534863611,781,548.375697216,3.560881151,154,0,10
0.720000000,4.805648052,0.720000000,0.010169000,0.640000000,0.001032277,0.082182401,5273.450196759,0.000398355,111,150,83,91,6,0.000000000,1.348111985,21.804474160,810,488.537739536,3.256918264,150,0,10
3.680000000,2.092383933,3.680000000,0.048684000,0.720000000,0.387950544,1.123146250,5018.091779306,0.000326518,126,135,91,28,5,24.323861191,1.309383302,7.961045384,855,345.300115016,2.576866530,134,0,10
4.000000000,1.917845065,4.000000000,0.032297000,3.680000000,0.529178591,0.574135222,11371.397638223,0.000329320,120,137,78,24,3,29.089684888,1.360151959,6.414050638,806,426.413434225,3.112506819,137,0,10
4.080000000,1.899745415,4.080000000,0.047703000,4.000000000,0.170007409,0.556670255,43165.446788979,0.000327746,120,137,94,48,12,24.378426064,1.576425142,13.016545580,834,497.493508058,3.631339475,137,0,10
4.160000000,1.891689886,4.160000000,0.027166000,4.080000000,0.167793660,0.230032139,10468.905466347,0.000323138,124,135,102,76,11,0.000000000,1.680798563,33.501263915,859,373.943005578,2.769948189,135,0,10
4.400000000,1.755685854,4.400000000,0.033756000,4.160000000,0.445905106,0.205399931,17184.333939350,0.000335957,123,154,100,102,1,0.000000000,1.495220842,6.675632596,863,440.016840010,2.875927059,153,0,10
4.800000000,1.695649410,4.800000000,0.033885000,4.400000000,0.805597734,0.490598245,15720.945109337,0.000347661,125,173,102,15,3,25.880770642,1.720150220,7.883888536,891,955.396097554,5.522520795,173,0,10
4.960000000,1.609510079,4.960000000,0.026410000,4.800000000,0.359679220,0.757506921,6952.074583681,0.000349293,130,162,109,94,11,0.000000000,1.806342053,9.743213235,946,618.567701626,3.818319146,162,0,10
5.280000000,1.598434197,5.280000000,0.045392000,4.960000000,0.635498404,0.515926344,14126.330017514,0.000348865,125,164,98,29,6,26.879284779,1.662400938,6.793973723,890,434.247775442,2.647852289,164,0,10
5.360000000,1.697031955,5.360000000,0.025422000,5.280000000,0.158354153,0.115858020,6220.075070023,0.000344212,123,181,91,15,2,23.904565243,1.548779663,6.650817690,888,445.123434682,2.459245495,181,0,10
5.600000000,1.778392726,5.600000000,0.034578000,5.360000000,0.421000017,0.466982297,11858.579306773,0.000338746,135,174,99,15,0,21.342938096,1.543179765,7.582921889,905,432.859559468,2.487698618,174,0,10
5.760000000,1.769420344,5.760000000,0.025875000,5.600000000,0.316370796,1.309950363,19657.833486965,0.000333600,128,166,103,90,5,0.000000000,1.614403891,7.184245165,907,618.287823829,3.724625445,166,0,10
5.840000000,1.851510735,5.840000000,0.006227000,5.760000000,0.129949413,1.341559389,8733.286251612,0.000325834,143,166,113,90,4,0.000000000,1.481234775,5.961742044,933,341.761797149,2.058806007,166,0,10
5.920000000,2.097794352,5.920000000,0.013791000,5.840000000,0.140031366,0.792300736,46992.607333865,0.000322462,130,179,97,59,5,28.442166587,1.554767133,8.007633506,886,571.812329581,3.194482288,179,0,10
6.000000000,2.102223725,6.000000000,0.034009000,5.920000000,0.168276767,0.933140510,19368.551249402,0.000313674,127,199,108,24,10,21.927063803,1.749900352,24.221624243,914,557.643399858,2.802228140,199,0,10
6.320000000,1.861212642,6.320000000,0.014626000,6.000000000,0.588343413,0.703798776,22320.647673420,0.000310753,124,27,22,124,3,0.000000000,1.631555107,110.896946921,830,211.679250799,7.839972252,27,0,10
6.400000000,1.868068040,6.400000000,0.034471000,6.320000000,0.170045503,0.612764133,34755.857716845,0.000302594,118,134,22,122,2,0.000000000,1.459876333,8.662244655,761,89.532675769,0.668154297,134,0,10
6.720000000,1.628572646,6.720000000,0.013855000,6.400000000,0.586640813,0.571907927,51823.845349286,0.000297844,117,171,21,85,1,0.000000000,1.279594276,8.541854977,709,872.467877725,5.102151332,171,0,10
6.880000000,1.636276074,6.880000000,0.046662000,6.720000000,0.310058978,0.603670858,22558.625284237,0.000283429,194,212,99,37,0,23.480262827,1.114322124,5.153048846,878,926.977125032,4.372533609,212,0,10
7.200000000,1.471382980,7.200000000,0.033023000,6.880000000,0.608755901,1.215331787,55316.628760870,0.000269437,221,220,132,36,2,27.275679009,1.028384578,4.949779403,989,585.724183097,2.662382650,220,0,10
7.360000000,1.560110061,7.360000000,0.026699000,7.200000000,0.261968582,0.260416688,44120.801787219,0.000267218,237,232,148,24,2,26.119989728,1.071899667,7.690957300,1071,409.537621715,1.765248369,232,0,10
7.520000000,1.642387120,7.520000000,0.013665000,7.360000000,0.329159087,0.607242693,11707.799424528,0.000253240,237,215,140,41,2,26.517616550,1.086175945,6.226925533,1105,757.158418428,3.521667062,215,0,10
7.840000000,1.472260538,7.840000000,0.006592000,7.520000000,0.571326670,0.238394526,11972.228882261,0.000231671,180,216,156,40,6,27.349668596,1.181877900,10.721289678,1046,489.796587428,2.267576794,216,0,10
7.920000000,1.567939195,7.920000000,0.013306000,7.840000000,0.164974808,0.209189003,8493.337143835,0.000241346,182,203,147,53,2,30.015454121,1.170138869,7.221428000,1144,1103.105000962,5.434014783,203,0,10
8.000000000,1.732188655,8.000000000,0.033341000,7.920000000,0.138379034,0.485461313,6157.300551255,0.000250310,190,218,146,38,3,24.618295530,1.170138824,6.763360704,1272,468.827653016,2.150585564,218,0,10
8.080000000,1.823488441,8.080000000,0.046659000,8.000000000,0.126046271,0.652543893,10439.697066745,0.000252282,191,206,144,50,2,30.471840531,1.288491845,7.789316484,1374,975.736595529,4.736585415,206,0,10
8.160000000,1.904482962,8.160000000,0.026296000,8.080000000,0.139937128,0.261906097,8549.871983872,0.000246588,213,225,165,31,2,23.248460491,1.303442838,6.332259106,1479,729.899610760,3.243998270,225,0,10
8.320000000,1.898185161,8.320000000,0.014058000,8.160000000,0.318709471,0.702069132,31980.823305809,0.000228222,205,218,161,38,9,24.047288966,1.404478113,6.629193628,1492,715.048488614,3.280038939,218,0,10
8.480000000,1.894631695,8.480000000,0.045853000,8.320000000,0.256943069,0.300487229,14938.253084811,0.000206692,204,195,147,61,2,22.638768445,1.198387025,5.173458148,1467,375.045444231,1.923309970,195,0,10
8.720000000,1.896481261,8.720000000,0.013935000,8.480000000,0.452274064,0.390209097,20286.106496154,0.000196759,198,203,132,53,1,34.244756346,1.240272532,6.966504259,1438,653.974647918,3.221549990,203,0,10
8.960000000,1.890278825,8.960000000,0.025740000,8.720000000,0.411248961,0.283606680,11772.992829953,0.000183001,188,211,120,45,2,23.041439952,1.215475886,7.327736429,1384,653.126451430,3.095386026,211,0,10
9.120000000,1.888554895,9.120000000,0.013975000,8.960000000,0.304574438,0.428146851,28716.832872102,0.000190905,198,191,129,65,5,23.032441802,1.436419761,11.340870524,1392,879.200981872,4.603146502,191,0,10
9.280000000,1.884469097,9.280000000,0.046226000,9.120000000,0.265223588,0.435566513,9220.902903110,0.000179499,201,184,125,72,2,24.171352350,1.364902647,10.324893247,1345,624.422424657,3.393600134,184,0,10
9.520000000,1.709434341,9.520000000,0.013296000,9.280000000,0.452864659,0.413418299,8667.330909089,0.000177412,199,70,51,183,2,0.000000000,1.353822875,19.068635870,1271,194.065196320,2.772359947,70,0,10
9.680000000,1.707175817,9.680000000,0.046440000,9.520000000,0.275262771,0.539333454,7578.983963911,0.000175923,181,173,50,68,0,25.039933810,1.327011835,6.679278925,1126,497.954081697,2.878347293,173,0,10
9.840000000,1.796324856,9.840000000,0.005773000,9.680000000,0.331749252,1.036745526,92690.857156465,0.000159481,162,202,47,34,0,22.725202411,1.433381962,6.530623945,989,327516.869230762,1621.370639756,202,0,10
10.000000000,1.792930724,10.000000000,0.034878000,9.840000000,0.263978952,0.521465346,12541.047318370,0.000161354,199,160,103,78,4,26.879617904,1.513513946,7.946905316,1055,467.964849818,2.924780311,160,0,10
10.160000000,1.793494658,10.160000000,0.025068000,10.000000000,0.314455226,0.773702296,16819.608644024,0.000160612,207,207,114,49,3,21.589621044,1.539968176,13.163182231,1070,486.953662772,2.352433153,207,0,10
10.400000000,1.860664114,10.400000000,0.034394000,10.160000000,0.416227817,0.809444978,11921.447187832,0.000159760,198,219,108,37,3,29.675624936,1.499661597,6.587810097,1045,711.233392981,3.247641064,219,0,10
10.640000000,1.956101548,10.640000000,0.006490000,10.400000000,0.461946236,0.503326690,24660.595742264,0.000155756,195,226,107,30,2,32.282022703,1.604343611,7.442731149,978,1055.648748746,4.671012163,226,0,10
10.800000000,1.967088302,10.800000000,0.033638000,10.640000000,0.293645437,0.530189313,13097.360555715,0.000151193,152,223,132,33,3,22.233365634,1.567743274,7.327242753,906,670.874771951,3.008407049,223,0,10
10.960000000,2.054673128,10.960000000,0.026216000,10.800000000,0.332601154,1.158469206,14154.579592797,0.000137879,179,232,146,24,5,27.205541455,1.517595931,7.078071518,1022,607.126104889,2.616922866,232,0,10
11.040000000,2.202267546,11.040000000,0.006079000,10.960000000,0.123324236,1.356003546,13592.111257841,0.000141765,167,190,117,66,4,21.090147075,1.506871651,10.524286596,1026,865.603050249,4.555805528,190,0,10
11.200000000,2.129364725,11.200000000,0.034025000,11.040000000,0.301318903,0.734569538,19133.833756158,0.000130889,183,222,148,34,20,38.148305418,1.705874622,19.221548107,1188,717.501439972,3.231988468,222,0,10
11.440000000,2.110504247,11.440000000,0.006425000,11.200000000,0.432349109,0.375097672,43415.153579254,0.000117981,184,204,125,52,4,25.989358809,1.568076851,12.671916039,1131,916.664714159,4.493454481,204,0,10
11.600000000,2.156832556,11.600000000,0.033316000,11.440000000,0.327549551,0.627732303,15179.343664997,0.000097611,175,219,119,37,3,21.099071015,1.532525600,6.582866035,1088,907.170220503,4.142329774,219,0,10
