time_sec,submit_to_publish_latency_sec,matched_gt_time_sec,gt_time_diff_sec,reference_time_sec,rpe_translation_m,rpe_rotation_deg,pose_position_cov_trace_m2,pose_rotation_cov_trace_rad2,feature_count,tracked_feature_count,long_track_count,new_feature_count,outlier_count,avg_parallax_px,avg_reprojection_error_px,max_reprojection_error_px,reprojection_sample_count,latest_frame_active_reprojection_sum_px,latest_frame_active_reprojection_mean_px,latest_frame_active_reprojection_sample_count,marginalization_flag,frame_count
0.400000000,8.638767200,0.400000000,0.047790000,nan,nan,nan,28772.587234665,0.002327676,261,241,164,15,1,10.304540611,0.484269189,8.678792734,1860,725.079905148,3.008630312,241,0,10
0.480000000,8.672169235,0.480000000,0.027862000,nan,nan,nan,39246.295727088,0.001410023,250,211,152,45,0,19.408973725,0.531041253,6.008660505,1710,265.540648531,1.258486486,211,0,10
0.560000000,8.647651114,0.560000000,0.007893000,0.480000000,0.000898770,0.603852239,8520.899906632,0.000907184,246,212,157,44,1,14.125743155,0.595123642,6.407713984,1687,199.322737550,0.940201592,212,0,10
0.640000000,8.658884324,0.640000000,0.012107000,0.560000000,0.000788219,0.515893801,11580.156498688,0.000645882,259,205,163,51,1,11.273077617,0.676182336,114.654958106,1724,282.415656963,1.377637351,205,0,10
0.720000000,8.627472679,0.720000000,0.032134000,0.640000000,0.000443847,0.214273328,2370.860009037,0.000562925,262,241,176,15,0,12.358449174,0.668637910,6.832851932,1760,272.282553122,1.129803125,241,0,10
8.080000000,1.345256176,8.080000000,0.028737000,0.720000000,0.175299220,2.231163523,4882.360127569,0.000512960,258,169,150,87,3,0.000000000,0.653933050,27.662654077,1781,265.991851977,1.573916284,169,0,10
8.160000000,1.333109996,8.160000000,0.008411000,8.080000000,0.089564762,2.306551277,14984.027388009,0.000528277,250,187,140,69,3,13.656523544,0.707611680,16.188570589,1735,386.700202633,2.067915522,187,0,10
8.240000000,1.353398573,8.240000000,0.011838000,8.160000000,0.124346755,2.613486670,3646.198954511,0.000421276,232,165,120,91,1,0.000000000,0.665346319,24.070132134,1629,676.137778674,4.097804719,165,0,10
8.320000000,1.388951772,8.320000000,0.032008000,8.240000000,0.105254786,2.060720979,7786.886703152,0.000253141,216,137,100,119,5,0.000000000,0.677386618,29.583979994,1519,576.226638550,4.206033858,137,0,10
8.480000000,1.283094636,8.480000000,0.027854000,8.320000000,0.182448660,1.830534420,22861.785444819,0.000246175,206,159,103,97,7,0.000000000,0.769187672,41.873523725,1436,886.105837398,5.572992688,159,0,10
8.640000000,1.166589880,8.640000000,0.011737000,8.480000000,0.238300785,4.981607336,3661.432698052,0.000250170,200,158,107,98,1,0.000000000,0.617420029,35.772063868,1339,603.759772681,3.821264384,158,0,10
8.720000000,1.164793168,8.720000000,0.031775000,8.640000000,0.102012097,2.993982659,1893.839032251,0.000252015,201,136,97,120,5,0.000000000,0.718864334,26.691454176,1296,515.343794142,3.845849210,134,0,10
8.800000000,1.167594806,8.800000000,0.048225000,8.720000000,0.090660607,2.415407802,7736.433928270,0.000247159,175,236,105,20,4,10.360843556,0.817191038,46.924807733,1181,487.115408218,2.081689779,234,0,10
8.880000000,1.174648937,8.880000000,0.027696000,8.800000000,0.099218019,2.337529696,43531.496007785,0.000237576,152,120,93,136,8,0.000000000,1.079639342,36.246088908,1101,433.836360950,3.645683705,119,0,10
8.960000000,1.175170697,8.960000000,0.006988000,8.880000000,0.120572064,2.653955741,40326.413216834,0.000222858,145,134,94,122,2,0.000000000,0.873211611,17.190567232,1046,681.463803173,5.085550770,134,0,10
9.040000000,1.174107749,9.040000000,0.013459000,8.960000000,0.105588159,2.479540476,4948.547059987,0.000200498,142,95,64,161,1,0.000000000,0.835385305,9.979364161,1009,413.681341206,4.354540434,95,0,10
9.200000000,1.079535231,9.200000000,0.045866000,9.040000000,0.169616248,2.229018639,4240.382492133,0.000197934,143,99,55,157,1,0.000000000,0.870715291,11.237380305,974,262.345060497,2.649950106,99,0,10
9.360000000,0.987911692,9.360000000,0.005490000,9.200000000,0.213686439,0.767167546,14789.390109767,0.000195621,152,223,68,33,6,10.190189119,0.995282558,24.975356316,975,381.955651313,1.712805611,223,0,10
9.440000000,0.982161538,9.440000000,0.014584000,9.360000000,0.092979514,1.873395395,12288.269505982,0.000194939,133,96,58,160,13,0.000000000,1.479647790,44.534207911,898,3965.909522235,41.311557523,96,0,10
9.520000000,0.984680190,9.520000000,0.035381000,9.440000000,0.091539954,2.785867990,9791.818163851,0.000192219,144,79,55,177,5,0.000000000,1.305806992,56.803805931,834,2516.998559379,32.688292979,77,0,10
9.600000000,0.984939216,9.600000000,0.044619000,9.520000000,0.102860324,2.605321640,52460.089065694,0.000187879,127,130,49,126,1,0.000000000,1.120755388,22.425210099,736,1647.813912726,12.773751261,129,0,10
9.680000000,0.982595604,9.680000000,0.024112000,9.600000000,0.109088848,1.941183022,107610.200205835,0.000182670,127,135,47,121,3,0.000000000,1.514627564,67.264913610,703,3329.078004158,25.030661685,133,0,10
9.760000000,0.969272302,9.760000000,0.004335000,9.680000000,0.089361795,1.939138941,1834.881808584,0.000166159,134,182,99,74,18,21.719894763,3.955206580,219.685376504,747,2468.463879958,13.713688222,180,0,10
9.840000000,0.971488000,9.840000000,0.015666000,9.760000000,0.084020994,1.310819523,1712.702514858,0.000144604,129,141,87,115,8,0.000000000,4.691192356,907.828044072,726,1398.256905421,10.059402197,139,0,10
9.920000000,0.967042029,9.920000000,0.035299000,9.840000000,0.101650084,1.286118837,5295.548677965,0.000147622,142,168,93,88,6,0.000000000,1.711391364,62.843232493,767,797.631390538,4.893444114,163,0,10
10.000000000,0.964637525,10.000000000,0.044701000,9.920000000,0.112973533,2.067416968,27204.901270388,0.000132294,134,179,100,77,7,25.741906424,1.932853493,64.455207787,806,1302.156625900,7.659744858,170,0,10
10.080000000,0.952899726,10.080000000,0.024909000,10.000000000,0.104560130,2.862658294,71188.475873078,0.000118813,148,208,114,48,5,20.555487342,1.635062308,50.946202670,885,1498.157506900,7.308085400,205,0,10
10.160000000,0.961524509,10.160000000,0.004888000,10.080000000,0.085745079,2.338350189,9069.037661708,0.000113012,174,211,139,45,7,10.109461253,2.790937697,658.793863117,1020,9816.699381312,46.524641618,211,0,10
10.240000000,0.961501541,10.240000000,0.015684000,10.160000000,0.069780363,1.328361571,38517.784075809,0.000114650,185,187,150,69,7,18.369705835,1.282630316,37.689798141,1143,3626.414039517,19.708771954,184,0,10
10.320000000,0.954224566,10.320000000,0.036229000,10.240000000,0.076880053,0.887882701,21093.587306664,0.000110533,189,192,148,64,8,20.931697962,1.549954535,99.768630653,1241,2862.027251882,14.984435874,191,0,10
10.400000000,0.947362054,10.400000000,0.043771000,10.320000000,0.086015064,0.275334468,2302.500682521,0.000102942,186,224,152,32,5,16.441371780,3.301230273,1252.741248317,1274,1236.867693922,5.571476099,222,0,10
10.480000000,0.944119634,10.480000000,0.023806000,10.400000000,0.076031481,0.392605014,898475.067141157,0.000100588,197,228,167,28,3,10.074749452,1.720641989,292.439586601,1382,715.598199830,3.166363716,226,0,10
10.560000000,1.023956854,10.560000000,0.004033000,10.480000000,0.060238814,0.392930927,5804.074910559,0.000099055,222,234,190,22,2,14.321490854,1.020770213,7.448196231,1520,534.211647135,2.282955757,234,0,10
10.640000000,1.101290468,10.640000000,0.015890000,10.560000000,0.056756510,0.352175425,15288.023347384,0.000097254,221,223,178,33,3,11.094283510,0.988390225,33.673449263,1599,576.125070760,2.583520497,223,0,10
10.720000000,1.116340084,10.720000000,0.035420000,10.640000000,0.063972473,0.887569023,12231.325287263,0.000096097,225,239,188,17,7,10.256908053,1.135066572,34.387272079,1694,709.572794290,3.019458699,235,0,10
10.800000000,1.289795149,10.800000000,0.044580000,10.720000000,0.087353048,0.792049378,12210.524455046,0.000094058,220,231,180,25,1,16.731841777,0.940025955,13.376193243,1695,821.401810357,3.555851993,231,0,10
10.880000000,1.450603743,10.880000000,0.025270000,10.800000000,0.095996701,0.903409838,9320.129713591,0.000091617,215,169,133,87,1,0.000000000,0.893477255,8.384186209,1653,1909.556065540,11.299148317,169,0,10
10.960000000,1.428528343,10.960000000,0.005577000,10.880000000,0.066366309,0.640284368,21071.269783387,0.000089205,217,208,139,48,8,10.513432388,1.012293345,20.781875594,1669,1046.092673089,5.029291698,208,0,10
11.040000000,1.514809946,11.040000000,0.015124000,10.960000000,0.054640733,0.522891458,9867.546404440,0.000089570,212,212,118,44,0,20.405613796,1.009043111,5.997726082,1580,1046.985035507,4.938608658,212,0,10
11.120000000,1.514891930,11.120000000,0.036126000,11.040000000,0.062449167,0.744573993,11064.158617006,0.000089490,241,215,161,41,5,16.656080996,0.904000682,20.539438389,1661,768.203396841,3.606588718,213,0,10
11.200000000,1.590198070,11.200000000,0.043874000,11.120000000,0.085412099,0.829504961,209418.208862601,0.000086031,237,182,145,74,4,18.258092922,1.076568249,77.462015595,1613,615.886731071,3.383993028,182,0,10
11.360000000,1.582173556,11.360000000,0.004072000,11.200000000,0.191102296,0.704297530,331929.459272924,0.000085615,229,220,144,36,1,14.179829287,1.076784678,8.069223509,1555,1676.320635050,7.619639250,220,0,10
11.520000000,1.501861961,11.520000000,0.035088000,11.360000000,0.151403124,0.710609832,7622.434323540,0.000084790,234,212,151,44,5,10.141647536,1.209097219,10.487792016,1565,787.751978561,3.715811220,212,0,10
11.600000000,1.497820219,11.600000000,0.044912000,11.520000000,0.077832926,1.156263600,20918.467819060,0.000082998,223,226,179,30,4,13.965380594,1.368587700,169.690921664,1550,579.107117955,2.573809413,225,0,10
11.840000000,1.490657845,11.840000000,0.013241000,11.600000000,0.314527801,2.232718897,4063.109091451,0.000080798,203,230,152,26,1,13.970895767,1.108575991,7.809613644,1478,1173.655723486,5.102850972,230,0,10
12.080000000,1.402026273,12.080000000,0.026748000,11.840000000,0.242890474,1.699250298,12922.424372133,0.000079433,197,230,147,26,2,12.398141729,1.171128236,7.687475452,1485,2262.403045335,9.836534980,230,0,10
12.160000000,1.401833110,12.160000000,0.006257000,12.080000000,0.100115802,0.323124466,7827.254828668,0.000064701,203,111,87,145,17,0.000000000,2.112668273,389.162420941,1492,1121.434580323,10.288390645,109,0,10
12.320000000,1.476081655,12.320000000,0.034909000,12.160000000,0.190577531,5.229532200,5932.238161794,0.000071585,189,218,66,38,0,13.565360235,1.110488397,4.444106835,1312,1244.256146388,5.707597002,218,0,10
12.400000000,1.472240280,12.400000000,0.045091000,12.320000000,0.100067062,3.214694085,358383.797342677,0.000068590,193,219,71,37,3,10.493908324,1.195947966,19.085881225,1270,9339.132112206,42.644438869,219,0,10
12.560000000,1.405366319,12.560000000,0.004397000,12.400000000,0.248798773,2.915976771,31566.496684581,0.000070705,284,190,174,66,11,12.498460803,2.129966649,568.288994880,1507,651.599264898,3.503221854,186,0,10
12.720000000,1.320312406,12.720000000,0.036263000,12.560000000,0.230037242,3.447552957,191706.758287213,0.000065889,269,183,148,73,3,11.835172735,1.018919678,18.202991446,1465,470.709896406,2.572185226,183,0,10
12.800000000,1.323289581,12.800000000,0.043737000,12.720000000,0.098229181,2.202441165,7551.496016326,0.000066774,262,192,144,64,3,10.412828921,1.184034573,72.994671140,1453,717.522106465,3.737094305,192,0,10
12.880000000,1.325388266,12.880000000,0.023390000,12.800000000,0.102067821,2.423387939,18434.542501401,0.000064880,265,184,147,72,3,12.292865196,1.085376602,11.000562624,1461,785.150621383,4.267122942,184,0,10
13.120000000,1.154963806,13.120000000,0.035517000,12.880000000,0.413023367,4.360577951,64061.890426589,0.000067469,190,222,158,34,1,11.285746111,2.351880101,896.796759305,1316,1285.303514810,5.789655472,222,0,10
13.280000000,1.090485256,13.280000000,0.024491000,13.120000000,0.195983415,1.080193972,3256.389110014,0.000065023,199,199,163,57,1,14.295476885,1.048832576,7.936154593,1433,448.139547335,2.251957524,199,0,10
13.360000000,1.085945019,13.360000000,0.004610000,13.280000000,0.092603124,0.638307758,62609.929011034,0.000063110,205,220,175,36,10,12.251914395,1.147048358,53.779262747,1573,411.605510117,1.896799586,217,0,10
13.600000000,1.028805566,13.600000000,0.044957000,13.360000000,0.348429161,1.349178031,8169.177074140,0.000065179,203,213,154,43,2,12.298974006,1.041506375,13.156064916,1605,984.883059378,4.623864129,213,0,10
13.680000000,1.023486289,13.680000000,0.024818000,13.600000000,0.097272351,1.987499269,10368.160750728,0.000063731,189,225,171,31,15,11.659278983,1.341701227,41.495083124,1608,1911.816393610,8.496961749,225,0,10
13.760000000,1.110976805,13.760000000,0.004500000,13.680000000,0.092659825,1.843136371,6250.009861465,0.000062041,186,185,143,71,2,16.732258042,1.029541486,10.391707808,1539,6308.349855781,34.099188410,185,0,10
13.840000000,1.116525230,13.840000000,0.015657000,13.760000000,0.098068390,2.174002651,0.000008044,0.000063399,187,218,149,38,6,16.014891598,1.243473739,61.860695334,1558,4210.234884634,19.491828170,216,0,10
13.920000000,1.107838093,13.920000000,0.035582000,13.840000000,0.123448076,0.565148220,12397.735549117,0.000063294,182,175,135,81,21,15.939832650,4.639388163,1225.157567335,1557,2232.620138267,12.757829362,175,0,10
14.000000000,1.109218916,14.000000000,0.044418000,13.920000000,0.115868098,0.786142438,2816541.593394072,0.000063419,192,202,144,54,10,20.938412060,1.426395103,76.719540083,1522,1247.374914233,6.175123338,202,0,10
14.080000000,1.104519204,14.080000000,0.024334000,14.000000000,0.092107511,1.434191151,0.000008792,0.000062558,184,225,138,31,4,15.142974152,1.020350314,62.864319948,1473,688.707151777,3.060920675,225,0,10
14.160000000,1.270983635,14.160000000,0.003785000,14.080000000,0.076408007,2.279601758,68223.298924535,0.000061004,206,235,153,21,0,12.181872805,0.975834611,5.654769777,1506,6098.162738979,25.949628677,235,0,10
14.240000000,1.276277105,14.240000000,0.016248000,14.160000000,0.069069562,1.353659242,2001.104807307,0.000060008,225,215,168,41,6,12.048929916,1.079478958,27.683063412,1584,561.442569757,2.635880609,213,0,10
14.400000000,1.198841927,14.400000000,0.044362000,14.240000000,0.193746661,1.432286912,1154.626571423,0.000059844,232,205,177,51,5,14.438398285,1.079661761,22.598406680,1619,550.509877927,2.698577833,204,0,10
14.480000000,1.205894268,14.480000000,0.025224000,14.400000000,0.108108367,0.689294479,46192.540433222,0.000058881,234,210,166,46,3,12.648147954,1.161781838,59.148471756,1643,622.642284098,2.964963258,210,0,10
14.640000000,1.125358543,14.640000000,0.014691000,14.480000000,0.169715580,3.493739956,13262.027445234,0.000057755,218,226,169,30,5,14.666193638,1.066292058,33.403747319,1642,350.586896522,1.558163985,225,0,10
