time_sec,submit_to_publish_latency_sec,matched_gt_time_sec,gt_time_diff_sec,reference_time_sec,rpe_translation_m,rpe_rotation_deg,pose_position_cov_trace_m2,pose_rotation_cov_trace_rad2,feature_count,tracked_feature_count,long_track_count,new_feature_count,outlier_count,avg_parallax_px,avg_reprojection_error_px,max_reprojection_error_px,reprojection_sample_count,latest_frame_active_reprojection_sum_px,latest_frame_active_reprojection_mean_px,latest_frame_active_reprojection_sample_count,marginalization_flag,frame_count
9.680000000,0.162138050,nan,nan,nan,nan,nan,nan,nan,81,100,65,156,0,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0,0,10
9.760000000,0.111091511,nan,nan,nan,nan,nan,6825.165714218,0.006716570,88,108,57,148,11,0.000000000,3.258552031,116.760049234,467,599.474332543,5.550688264,108,0,10
9.840000000,0.079619125,nan,nan,nan,nan,nan,17690.616288254,0.004472976,87,53,40,203,1,0.000000000,1.319769415,8.591886022,438,153.206477482,2.890688254,53,0,10
9.920000000,0.078383849,nan,nan,nan,nan,nan,0.000025601,0.003277465,86,153,25,103,2,0.000000000,1.429340332,13.063226775,453,538.397625000,3.518938725,153,0,10
10.000000000,0.079253006,nan,nan,nan,nan,nan,11396.341217072,0.002257971,85,18,5,238,0,0.000000000,1.394494212,5.697806429,434,192.660306750,10.703350375,18,0,10
10.080000000,0.078331245,nan,nan,nan,nan,nan,1731.150802058,0.002485179,82,28,8,228,2,0.000000000,1.488878459,18.195151498,433,64.940244642,2.319294452,28,0,10
10.160000000,0.073355807,nan,nan,nan,nan,nan,3070.627766964,0.002680642,76,65,3,191,1,0.000000000,1.373109726,5.142596416,383,1160.166112975,17.848709430,65,0,10
10.240000000,0.082614505,nan,nan,nan,nan,nan,250149.216222365,0.002497333,59,13,2,243,2,0.000000000,1.083682381,10.045846213,348,114.121779763,8.778598443,13,0,10
10.320000000,0.073923384,nan,nan,nan,nan,nan,71402.349853366,0.002225713,46,128,10,128,6,0.000000000,1.361646754,9.375150031,276,1074.319224570,8.393118942,128,0,10
10.400000000,0.074562797,nan,nan,nan,nan,nan,1268.424839407,0.002138692,26,30,4,226,3,0.000000000,1.414014906,7.905499071,173,140.594432333,4.686481078,30,0,10
10.480000000,0.066159241,nan,nan,nan,nan,nan,8017.727426455,0.002030259,11,68,11,188,7,0.000000000,2.252062852,11.046349545,119,158.468095698,2.330413172,68,0,10
10.560000000,0.061762838,nan,nan,nan,nan,nan,20152.266970188,0.002086821,7,68,5,188,3,0.000000000,2.732951473,9.086082987,46,1299.963287746,19.117107173,68,0,10
10.640000000,0.089927739,nan,nan,nan,nan,nan,9450.093748192,0.002001978,4,13,4,243,4,0.000000000,4.224377128,29.111115295,35,646.360566854,49.720043604,13,0,10
10.720000000,0.085053767,nan,nan,nan,nan,nan,4790.261680148,0.002012776,2,47,2,209,2,0.000000000,2.977835022,8.650401232,19,970.874970950,20.656914276,47,0,10
10.800000000,0.067303967,nan,nan,nan,nan,nan,6236.386363048,0.002117649,2,20,0,236,0,0.000000000,1.767378696,3.134540076,7,320.714297192,16.035714860,20,0,10
10.880000000,0.067514960,nan,nan,nan,nan,nan,4342.323393484,0.001878881,0,38,4,218,6,0.000000000,10.898274747,36.495638192,19,1160.758515666,30.546276728,38,0,10
10.960000000,0.056891107,nan,nan,nan,nan,nan,5519.895922388,0.002219984,0,25,0,231,0,0.000000000,0.000000000,0.000000000,0,3656.679173425,146.267166937,25,0,10
