time_sec,submit_to_publish_latency_sec,matched_gt_time_sec,gt_time_diff_sec,reference_time_sec,rpe_translation_m,rpe_rotation_deg,pose_position_cov_trace_m2,pose_rotation_cov_trace_rad2,feature_count,tracked_feature_count,long_track_count,new_feature_count,outlier_count,avg_parallax_px,avg_reprojection_error_px,max_reprojection_error_px,reprojection_sample_count,latest_frame_active_reprojection_sum_px,latest_frame_active_reprojection_mean_px,latest_frame_active_reprojection_sample_count,marginalization_flag,frame_count
3.920000000,0.383337964,3.920000000,0.033314000,nan,nan,nan,nan,nan,200,236,166,20,0,20.201652754,0.000000000,0.000000000,0,0.000000000,0.000000000,0,0,10
4.000000000,0.356780771,4.000000000,0.012790000,nan,nan,nan,22890.834058442,0.005627871,170,232,189,24,53,6.725614786,4.101357568,832.821887157,2319,2858.095311112,13.740842842,208,1,10
4.080000000,0.320467234,4.080000000,0.007878000,4.000000000,0.216741517,0.716463569,5614.117538073,0.008388880,156,185,126,71,0,4.178617217,0.535548169,17.698287373,1533,189.336028342,1.046055405,181,1,10
4.160000000,0.280313287,4.160000000,0.028739000,4.080000000,0.169598723,0.559587687,64383.238563503,0.007481811,156,231,121,25,0,7.284236693,0.552689298,18.002801060,1431,217.986875323,0.943666127,231,1,10
4.240000000,0.258206323,4.240000000,0.049508000,4.160000000,0.198260069,0.647233150,9571.690674234,0.007270638,173,243,121,13,0,15.900231526,0.589244881,18.621780419,1430,312.309581692,1.285224616,243,0,10
4.320000000,0.211734612,4.320000000,0.030492000,4.240000000,0.204707448,0.814761396,21868.756867277,0.004427846,161,239,147,17,3,7.044664695,0.637622826,18.014733140,1467,295.882835284,1.238003495,239,1,10
4.400000000,0.160995091,4.400000000,0.010347000,4.320000000,0.178632154,0.401871242,24310.113534379,0.004188683,161,235,142,21,0,7.422552725,0.594539049,16.349812229,1395,310.753342363,1.322354648,235,1,10
4.480000000,0.114179079,4.480000000,0.009881000,4.400000000,0.181314227,0.447325728,43785.301553367,0.003948410,161,239,141,17,0,7.902005205,0.613632889,16.594303129,1390,355.370820689,1.486907200,239,1,10
4.560000000,0.082493042,4.560000000,0.029594000,4.480000000,0.227820719,0.704693750,8004.035184638,0.003457229,182,241,141,15,0,13.412094513,0.643448420,16.897393096,1390,489.700049248,2.031950412,241,0,10
4.640000000,0.090595117,4.640000000,0.049236000,4.560000000,0.223752563,0.960488669,11845.301095449,0.002272777,176,233,206,23,4,5.841364930,0.666260604,16.785769238,1587,194.956262459,0.836722156,233,1,10
4.720000000,0.112597414,4.720000000,0.030764000,4.640000000,0.195009076,1.053574528,34847.892062489,0.001592129,232,236,198,20,2,10.269737544,0.581766206,15.374006010,1533,172.969072400,0.732919798,236,0,10
4.800000000,0.086317679,4.800000000,0.010713000,4.720000000,0.196041344,0.392286919,10054.136854798,0.001054224,226,242,208,14,2,3.431080965,0.582128690,13.722207114,1620,121.809406638,0.503344656,242,1,10
4.880000000,0.098696490,4.880000000,0.009595000,4.800000000,0.234375184,1.621205522,67558.171676075,0.000789637,225,242,203,14,0,5.131878308,0.623797280,11.781216727,1589,198.575721526,0.820560833,242,1,10
4.960000000,0.098457273,4.960000000,0.029392000,4.880000000,0.209244964,0.286452441,11085.199821631,0.000592267,225,244,203,12,0,7.687790085,0.651592336,11.793468709,1585,238.244214200,0.976410714,244,1,10
5.040000000,0.092744399,5.040000000,0.049818000,4.960000000,0.193957498,0.976743699,31363.404551679,0.000444211,225,244,198,12,0,8.748045379,0.613879064,11.783193843,1574,192.254595835,0.787928671,244,1,10
5.120000000,0.096060233,5.120000000,0.030182000,5.040000000,0.217068433,1.602736100,27898.787740229,0.000372782,224,245,195,11,0,8.271750565,0.656979690,11.786049986,1567,220.770128152,0.901102564,245,1,10
5.200000000,0.109853839,5.200000000,0.010007000,5.120000000,0.254108596,2.877259928,12048.080579510,0.000371074,226,233,189,23,0,10.406369978,0.770444213,11.826851780,1555,329.013839141,1.412076563,233,0,10
5.280000000,0.104570411,5.280000000,0.010119000,5.200000000,0.219146875,2.956230533,3692.635731426,0.000307881,215,236,193,20,5,16.971918206,0.820755686,11.712198792,1629,242.901913642,1.029245397,236,0,10
