time_sec,submit_to_publish_latency_sec,matched_gt_time_sec,gt_time_diff_sec,reference_time_sec,rpe_translation_m,rpe_rotation_deg,pose_position_cov_trace_m2,pose_rotation_cov_trace_rad2,feature_count,tracked_feature_count,long_track_count,new_feature_count,outlier_count,avg_parallax_px,avg_reprojection_error_px,max_reprojection_error_px,reprojection_sample_count,latest_frame_active_reprojection_sum_px,latest_frame_active_reprojection_mean_px,latest_frame_active_reprojection_sample_count,marginalization_flag,frame_count
0.240000000,4.256233217,0.240000000,0.045905000,nan,nan,nan,9571.697415536,0.007267280,174,243,121,13,0,15.900231526,0.589244881,18.621780419,1430,312.309581692,1.285224616,243,0,10
0.320000000,4.357055024,0.320000000,0.034095000,nan,nan,nan,8004.039756774,0.003455656,183,241,141,15,0,13.412094513,0.643448420,16.897393096,1390,489.700049248,2.031950412,241,0,10
0.400000000,4.455594061,0.400000000,0.014117000,0.320000000,0.000927474,1.795106933,34847.903409815,0.001591063,232,236,198,20,2,10.269737544,0.581766206,15.374006010,1533,172.969072400,0.732919798,236,0,10
0.480000000,4.874958019,0.480000000,0.005842000,0.400000000,0.002082991,2.028199823,12048.079893620,0.000371072,230,233,189,23,0,10.406369978,0.770444213,11.826851780,1555,329.013839141,1.412076563,233,0,10
0.560000000,4.872238324,0.560000000,0.025793000,0.480000000,0.001452196,0.652550588,3692.634736975,0.000307852,230,236,193,20,5,16.971918206,0.820755686,11.712198792,1629,242.901913642,1.029245397,236,0,10
0.640000000,4.870156255,0.640000000,0.045763000,0.560000000,0.001425629,1.115638826,16688.786279475,0.000251124,238,232,210,24,1,12.686241870,0.841186637,6.279940845,1721,252.029322708,1.086333288,232,0,10
0.720000000,4.872557564,0.720000000,0.034237000,0.640000000,0.001193258,0.675140986,481527.737228502,0.000223610,240,236,207,20,1,22.362424980,0.839372262,5.561219809,1826,184.484033450,0.781712006,236,0,10
3.600000000,2.056854718,3.600000000,0.013900000,0.720000000,0.258926091,0.550680359,46197.955468796,0.000210972,246,226,206,30,0,20.570229305,0.673018742,5.365554303,1936,183.910240267,0.817378846,225,0,10
3.840000000,1.896611177,3.840000000,0.046686000,3.600000000,0.397594091,0.473666233,7418.179080570,0.000200602,255,229,207,27,0,11.350205544,0.660855996,6.857386580,2040,192.227498024,0.839421389,229,0,10
4.160000000,1.660493901,4.160000000,0.028739000,3.840000000,0.700269761,0.758032256,9739.744476649,0.000193058,256,242,210,14,1,10.887489567,0.665055194,7.856792359,2117,229.678074993,0.949082955,242,0,10
4.480000000,1.495212229,4.480000000,0.009881000,4.160000000,0.756930913,1.125517849,6162.161147595,0.000176276,264,236,217,20,0,12.898790842,0.657574481,5.039522630,2151,222.204837564,0.941545922,236,0,10
4.640000000,1.659086083,4.640000000,0.049236000,4.480000000,0.444232653,2.406613621,5796.839560319,0.000118005,261,234,205,22,1,10.170646579,0.697282329,8.433821674,2154,218.596688381,0.934173882,234,0,10
