time_sec,submit_to_publish_latency_sec,matched_gt_time_sec,gt_time_diff_sec,reference_time_sec,rpe_translation_m,rpe_rotation_deg,pose_position_cov_trace_m2,pose_rotation_cov_trace_rad2,feature_count,tracked_feature_count,long_track_count,new_feature_count,outlier_count,avg_parallax_px,avg_reprojection_error_px,max_reprojection_error_px,reprojection_sample_count,latest_frame_active_reprojection_sum_px,latest_frame_active_reprojection_mean_px,latest_frame_active_reprojection_sample_count,marginalization_flag,frame_count
0.320000000,4.807625712,0.320000000,0.019848000,nan,nan,nan,4387.174922669,0.002616097,248,243,219,13,4,30.714861311,0.441096071,13.245709693,2433,425.907097790,1.797076362,237,0,10
0.400000000,4.825763682,0.400000000,0.039824000,nan,nan,nan,15527.952735805,0.001653004,253,234,212,22,1,30.270480052,0.385930455,22.383051587,2260,234.461220590,1.010608709,232,0,10
0.480000000,4.837700741,0.480000000,0.040176000,0.400000000,0.000755582,1.281133566,35606.577589467,0.000937782,262,241,210,15,2,27.985790790,0.413918556,28.645692896,2244,307.180437392,1.274607624,241,0,10
0.560000000,4.847409502,0.560000000,0.020206000,0.480000000,0.001693891,0.720297817,28204.072304537,0.000624535,265,235,201,21,2,29.576158295,0.416409854,22.444443370,2225,355.225921875,1.524574772,233,0,10
0.640000000,4.856679248,0.640000000,0.000230000,0.560000000,0.001648638,1.350439636,15582.487709118,0.000426377,268,220,192,36,8,29.532355962,0.519952222,25.412501102,2207,269.961444742,1.238355251,218,0,10
0.720000000,4.828887614,0.720000000,0.019760000,0.640000000,0.000665630,0.634567954,8363.834039442,0.000328860,275,217,171,39,1,29.407146573,0.416159039,17.955246252,2155,212.860795889,0.980925327,217,0,10
4.320000000,1.293834470,4.320000000,0.020039000,0.720000000,0.058396963,2.824521110,6718.992299752,0.000303768,273,216,153,40,4,29.259027747,0.369954838,18.689965570,2100,251.575271728,1.181104562,213,0,10
4.400000000,1.297697624,4.400000000,0.039724000,4.320000000,0.026661163,5.462445968,9125.646138213,0.000296308,282,226,158,30,7,31.303937929,0.349112390,13.746657195,2067,201.696376850,0.916801713,220,0,10
4.480000000,1.299297060,4.480000000,0.040276000,4.400000000,0.028492089,6.257875216,6640.343832815,0.000287501,297,214,162,42,8,30.904112949,0.379940084,14.503645996,2040,196.891742715,0.942065755,209,0,10
4.560000000,1.299449597,4.560000000,0.020664000,4.480000000,0.030098869,6.949089153,9910.553205616,0.000249020,306,209,163,47,4,29.270120045,0.343313022,13.623876506,2004,220.340920436,1.090796636,202,0,10
4.640000000,1.286917158,4.640000000,0.000847000,4.560000000,0.025267185,7.017073882,7016.481421971,0.000228332,296,219,149,37,7,29.577404997,0.394049634,19.674671328,1910,282.958884629,1.322237779,214,0,10
4.720000000,1.269795976,4.720000000,0.019235000,4.640000000,0.024480160,6.330397951,9689.061609899,0.000207024,284,231,165,25,7,22.660675291,0.391159493,13.848872146,1860,286.524325688,1.326501508,216,0,10
4.800000000,1.254186327,4.800000000,0.039703000,4.720000000,0.035677848,6.538335536,5063.701532909,0.000180452,279,225,176,31,12,16.207129615,0.475383029,9.048404465,1816,566.525429421,2.563463482,221,0,10
4.880000000,1.236062990,4.880000000,0.040297000,4.800000000,0.040790890,6.427139823,11051.914131436,0.000171005,264,236,189,20,7,10.010896723,0.449916323,14.400179270,1781,556.204249998,2.407810606,231,0,10
4.960000000,1.960233860,4.960000000,0.019744000,4.880000000,0.045471923,6.443487544,9619.822390512,0.000137783,219,235,105,21,0,11.169415926,0.425548980,4.870571973,1528,957.809840037,4.075786553,235,0,10
