timestamp,is_keyframe,frame_id,reproj_error_mean,reproj_error_median,feature_lifetime_mean,feature_lifetime_median,num_tracked_features,num_new_features,survival_rate,parallax_avg,imu_bias_acc_norm,imu_bias_gyr_norm,imu_bias_acc_delta,imu_bias_gyr_delta,optical_flow_mean,optical_flow_median,depth_mean,depth_variance,num_triangulated,solver_initial_cost,solver_final_cost,solver_iterations,solver_converged,solver_time_ms,marginalization_factor_cost,imu_factor_cost,visual_factor_cost,visual_factor_count,visual_factor_cost_avg,imu_preint_cov_trace_mean,imu_preint_cov_trace_latest,visual_meas_cov_trace,imu_visual_pos_disagreement,imu_visual_vel_disagreement,cov_valid,cov_marginal,cov_compute_ms,cov_pos_x,cov_pos_y,cov_pos_z,cov_pos_trace,cov_rot_x,cov_rot_y,cov_rot_z,cov_rot_trace,cov_vel_x,cov_vel_y,cov_vel_z,cov_vel_trace,cov_ba_x,cov_ba_y,cov_ba_z,cov_ba_trace,cov_bg_x,cov_bg_y,cov_bg_z,cov_bg_trace
2.720000000,0,74,1.551456,0.095444,8.585366,11.000000,230,26,0.898438,11.081222,0.022001,0.000813,0.000000,0.000000,0.330990,0.331989,18.340088,10237.434921,279,3375.43825185,2284.47248948,5,0,19.37103271,145.07193742,63.34750828,2076.05304378,2431,0.85399138,0.00002503,0.00000304,0.00000402,0.062766,1.569405,1,0,2.078264,0.000046,0.000046,0.000046,0.000079,0.000070,0.000069,0.000093,0.000135,0.000994,0.000999,0.000992,0.001724,0.000014,0.000014,0.000014,0.000024,0.000001,0.000001,0.000001,0.000002
2.800000000,1,76,0.376557,0.088794,7.982143,11.000000,228,28,0.890625,24.349650,0.030930,0.000844,0.000000,0.000000,0.215809,0.189013,9.067197,331.947843,293,671.29345849,376.46565793,5,0,22.83883095,66.22497345,55.23990858,255.00077590,2281,0.11179341,0.00002534,0.00000304,0.00000402,0.062785,1.569477,1,1,13.206914,0.000765,0.001723,0.000372,0.001922,0.000320,0.000484,0.000354,0.000680,0.002302,0.004403,0.002267,0.005461,0.000076,0.002333,0.000127,0.002338,0.000222,0.000232,0.000235,0.000398
2.880000000,1,78,0.565609,0.089103,7.566952,11.000000,236,20,0.921875,25.100849,0.053653,0.000807,0.000000,0.000000,0.262450,0.236653,7.165412,120.562105,310,1505.22975196,873.92634519,5,0,23.40698242,177.61194542,250.07124081,446.24315896,2235,0.19966137,0.00002534,0.00000304,0.00000402,0.062892,1.571760,1,1,13.358016,0.000427,0.001164,0.000319,0.001280,0.000300,0.000508,0.000332,0.000677,0.001737,0.003708,0.002009,0.004562,0.000076,0.002257,0.000120,0.002262,0.000217,0.000225,0.000226,0.000386
2.960000000,0,79,0.727471,0.123113,7.191375,8.000000,234,22,0.914062,16.709979,0.072302,0.000662,0.000000,0.000000,0.356397,0.334765,6.708512,116.359758,320,1737.60829219,1443.60043373,5,0,15.31195641,372.31218728,449.63491871,621.65332774,2242,0.27727624,0.00002534,0.00000305,0.00000402,0.062725,1.568574,1,0,1.933403,0.000046,0.000046,0.000046,0.000080,0.000074,0.000073,0.000094,0.000140,0.000997,0.001000,0.000994,0.001728,0.000014,0.000014,0.000014,0.000024,0.000001,0.000001,0.000001,0.000002
3.040000000,1,80,0.461637,0.115316,6.929688,8.000000,232,24,0.906250,26.729471,0.117196,0.000545,0.000000,0.000000,0.362520,0.336731,6.748286,113.796902,331,1245.23167309,741.59781288,5,0,22.73511887,246.06398096,227.91437345,267.61945847,2201,0.12158994,0.00002565,0.00000304,0.00000402,0.062780,1.569479,1,1,13.425598,0.000382,0.001500,0.000329,0.001583,0.000305,0.000461,0.000328,0.000643,0.001753,0.004227,0.001834,0.004930,0.000083,0.002168,0.000117,0.002173,0.000211,0.000216,0.000219,0.000374
3.120000000,1,82,0.492883,0.257548,6.413876,6.000000,222,34,0.867188,23.425988,0.170846,0.000508,0.000000,0.000000,0.278191,0.233503,7.425708,145.984340,341,2128.50615275,950.93925585,5,0,22.79901505,343.84950767,335.63603509,271.45371309,2185,0.12423511,0.00002565,0.00000304,0.00000402,0.062796,1.569868,1,1,13.768215,0.000323,0.001502,0.000290,0.001564,0.000295,0.000444,0.000319,0.000621,0.001572,0.004183,0.001769,0.004806,0.000088,0.002131,0.000115,0.002136,0.000207,0.000211,0.000214,0.000365
3.200000000,1,84,0.769963,0.460351,6.121005,6.000000,231,25,0.902344,24.748433,0.255318,0.000564,0.000000,0.000000,0.282188,0.265897,7.234904,113.535832,364,4267.08814693,1529.68128305,5,0,22.66907692,429.64200698,544.10058553,555.93869053,2157,0.25773699,0.00002565,0.00000304,0.00000402,0.062876,1.571363,1,1,14.034994,0.000323,0.001765,0.000296,0.001819,0.000302,0.000455,0.000317,0.000632,0.001572,0.004751,0.001829,0.005328,0.000099,0.002106,0.000114,0.002111,0.000205,0.000207,0.000211,0.000360
3.280000000,0,85,0.864207,0.578369,5.800866,5.000000,226,30,0.882812,20.276328,0.310743,0.000436,0.000000,0.000000,0.224476,0.189884,7.399925,130.648091,381,8466.60119619,1923.11725356,5,0,22.35007286,612.40357695,707.26086494,603.45281167,2087,0.28914845,0.00002565,0.00000304,0.00000402,0.062728,1.568530,1,0,1.826109,0.000046,0.000046,0.000046,0.000080,0.000071,0.000070,0.000093,0.000136,0.000997,0.001000,0.000995,0.001728,0.000014,0.000014,0.000014,0.000024,0.000001,0.000001,0.000001,0.000002
3.360000000,1,87,0.631199,0.447826,5.500000,5.000000,224,32,0.875000,28.428592,0.349649,0.000209,0.000000,0.000000,0.337533,0.310454,7.853088,161.954474,396,11579.86423174,1362.69835614,5,0,22.16100693,489.45367080,531.14983040,342.09485494,2050,0.16687554,0.00002596,0.00000304,0.00000402,0.062773,1.569373,1,1,13.417214,0.008232,0.002356,0.000354,0.008570,0.000679,0.014922,0.000890,0.014964,0.016987,0.005305,0.001884,0.017896,0.000288,0.002053,0.000243,0.002087,0.000200,0.000202,0.000206,0.000351
3.440000000,1,89,0.717881,0.543777,5.303150,4.000000,233,23,0.910156,25.461246,0.385224,0.000223,0.000000,0.000000,0.264652,0.220649,7.834609,191.833341,417,15112.23669970,1573.10727565,5,0,21.75617218,565.68539748,621.91291329,385.50896488,2010,0.19179550,0.00002596,0.00000304,0.00000402,0.062814,1.570226,1,1,13.515228,0.007097,0.002313,0.000332,0.007472,0.000683,0.012600,0.000805,0.012644,0.018905,0.005499,0.001846,0.019775,0.000257,0.002023,0.000295,0.002060,0.000197,0.000198,0.000203,0.000345
