timestamp,is_keyframe,frame_id,reproj_error_mean,reproj_error_median,feature_lifetime_mean,feature_lifetime_median,num_tracked_features,num_new_features,survival_rate,parallax_avg,imu_bias_acc_norm,imu_bias_gyr_norm,imu_bias_acc_delta,imu_bias_gyr_delta,optical_flow_mean,optical_flow_median,depth_mean,depth_variance,num_triangulated,solver_initial_cost,solver_final_cost,solver_iterations,solver_converged,solver_time_ms,marginalization_factor_cost,imu_factor_cost,visual_factor_cost,visual_factor_count,visual_factor_cost_avg,imu_preint_cov_trace_mean,imu_preint_cov_trace_latest,visual_meas_cov_trace,imu_visual_pos_disagreement,imu_visual_vel_disagreement,cov_valid,cov_marginal,cov_compute_ms,cov_pos_x,cov_pos_y,cov_pos_z,cov_pos_trace,cov_rot_x,cov_rot_y,cov_rot_z,cov_rot_trace,cov_vel_x,cov_vel_y,cov_vel_z,cov_vel_trace,cov_ba_x,cov_ba_y,cov_ba_z,cov_ba_trace,cov_bg_x,cov_bg_y,cov_bg_z,cov_bg_trace
4.160000000,0,112,163.372106,14.520286,7.057644,8.000000,243,13,0.949219,16.947599,0.008872,0.001723,0.000001,0.000000,0.196651,0.193343,6.972289,90.008959,323,301893.49730368,286072.98251254,5,0,11.70206070,0.00000000,28509.10264485,257563.87986770,2323,110.87554019,0.00008697,0.00000304,0.00000402,0.063010,1.573462,1,0,2.014985,0.000046,0.000046,0.000046,0.000080,0.000092,0.000091,0.000099,0.000163,0.001000,0.001001,0.000999,0.001731,0.000014,0.000014,0.000014,0.000024,0.000001,0.000001,0.000001,0.000002
4.240000000,1,112,1.453610,1.426694,1.533981,1.000000,70,186,0.273438,0.000000,0.053015,0.004080,0.000000,0.000000,0.199454,0.188505,14.457416,144.720662,90,21694.10071629,35.73426142,5,0,2.17890739,0.00000000,1.70194010,34.03232132,65,0.52357417,0.00008731,0.00000304,0.00000402,0.062636,1.565903,1,1,6.056637,0.000642,0.000449,0.001201,0.001434,0.000509,0.004432,0.002053,0.004911,0.012070,0.004166,0.003593,0.013264,0.000082,0.002039,0.000161,0.002047,0.000266,0.000631,0.000747,0.001014
4.320000000,1,113,1.339088,1.123251,2.295238,2.000000,247,9,0.964844,0.000000,0.046216,0.003744,0.000000,0.000000,0.067346,0.055734,173.107090,3027845.039101,269,486.36950526,88.80836208,5,0,2.96401978,1.63378911,4.56014386,82.61442911,150,0.55076286,0.00008731,0.00000304,0.00000402,0.062807,1.570185,1,1,6.902855,0.002977,0.001981,0.014448,0.014884,0.001170,0.003305,0.001445,0.003792,0.008308,0.006609,0.011621,0.015740,0.000157,0.003649,0.000649,0.003709,0.000553,0.000496,0.000769,0.001069
4.400000000,0,113,1.287826,0.836901,3.021739,3.000000,248,8,0.968750,10.006446,0.047832,0.002642,0.000000,0.000000,0.208227,0.216510,171.395616,2973287.477580,274,522.64530709,141.74789760,5,0,4.76503372,4.61238482,11.51103118,125.62448159,262,0.47948275,0.00008731,0.00000304,0.00000402,0.062773,1.569352,1,0,0.352247,0.000046,0.000046,0.000046,0.000080,0.000085,0.000085,0.000098,0.000155,0.001001,0.001001,0.001000,0.001733,0.000014,0.000014,0.000014,0.000024,0.000001,0.000001,0.000001,0.000002
4.480000000,0,113,1.428152,1.085034,3.003086,3.000000,250,6,0.976562,5.008919,0.045024,0.002239,0.000000,0.000000,0.101163,0.096022,166.530096,2909959.989777,280,488.24981840,155.91989694,5,0,4.60195541,3.46082861,14.99937344,137.45969489,259,0.53073241,0.00008762,0.00000304,0.00000402,0.062798,1.569945,1,0,0.344855,0.000046,0.000046,0.000046,0.000080,0.000086,0.000085,0.000098,0.000156,0.001000,0.001000,0.001000,0.001732,0.000014,0.000014,0.000014,0.000024,0.000001,0.000001,0.000001,0.000002
4.560000000,0,114,1.569416,1.315455,3.003086,3.000000,253,3,0.988281,14.817973,0.050687,0.003701,0.000000,0.000000,0.262718,0.267955,163.728072,2859345.888193,285,459.21628724,180.36906271,5,0,5.09309769,4.34987851,17.07340701,158.94577719,256,0.62088194,0.00008794,0.00000304,0.00000402,0.062775,1.569422,1,0,0.389269,0.000046,0.000046,0.000046,0.000080,0.000087,0.000086,0.000098,0.000157,0.001001,0.001001,0.001000,0.001733,0.000014,0.000014,0.000014,0.000024,0.000001,0.000001,0.000001,0.000002
4.640000000,0,116,1.640689,1.433431,2.887240,3.000000,242,14,0.945312,20.543893,0.061243,0.002183,0.000000,0.000000,0.196658,0.179921,163.162978,2859496.076126,285,486.19118073,188.79825726,5,0,4.58502769,6.66565705,16.61114367,165.52145654,253,0.65423501,0.00008828,0.00000305,0.00000402,0.062795,1.569851,1,0,0.352118,0.000046,0.000046,0.000046,0.000080,0.000086,0.000086,0.000098,0.000156,0.001002,0.001001,0.001000,0.001734,0.000014,0.000014,0.000014,0.000024,0.000001,0.000001,0.000001,0.000002
4.720000000,0,118,1.286170,1.010144,2.878698,3.000000,243,13,0.949219,16.909172,0.075839,0.001858,0.000000,0.000000,0.099049,0.093421,164.539137,2879451.251815,283,359.12168750,131.91778241,5,0,4.56118584,4.98065192,14.23203211,112.70509838,241,0.46765601,0.00008865,0.00000304,0.00000402,0.062775,1.569385,1,0,0.344310,0.000046,0.000046,0.000046,0.000080,0.000087,0.000086,0.000098,0.000157,0.001001,0.001001,0.001000,0.001733,0.000014,0.000014,0.000014,0.000024,0.000001,0.000001,0.000001,0.000002
4.800000000,0,120,1.258272,0.892348,2.895833,3.000000,250,6,0.976562,18.004545,0.075791,0.001833,0.000000,0.000000,0.084891,0.082426,160.610266,2810567.736556,290,349.30998091,129.58652245,5,0,4.83798981,5.98097069,13.76558942,109.83996234,241,0.45576748,0.00008906,0.00000304,0.00000402,0.062793,1.569821,1,0,0.456276,0.000046,0.000046,0.000046,0.000080,0.000087,0.000086,0.000098,0.000157,0.001000,0.001001,0.001000,0.001732,0.000014,0.000014,0.000014,0.000024,0.000001,0.000001,0.000001,0.000002
4.880000000,0,122,1.428015,1.214137,2.870206,3.000000,249,7,0.972656,19.675726,0.043469,0.002255,0.000000,0.000000,0.322697,0.333426,159.025124,2791632.387764,292,346.83408448,152.13720436,5,0,12.96401024,8.67235298,18.16645277,125.29839860,241,0.51991037,0.00008949,0.00000304,0.00000402,0.062820,1.570432,1,0,0.949734,0.000046,0.000046,0.000046,0.000080,0.000087,0.000087,0.000098,0.000157,0.001000,0.001000,0.001000,0.001732,0.000014,0.000014,0.000014,0.000024,0.000001,0.000001,0.000001,0.000002
