timestamp,is_keyframe,frame_id,reproj_error_mean,reproj_error_median,feature_lifetime_mean,feature_lifetime_median,num_tracked_features,num_new_features,survival_rate,parallax_avg,imu_bias_acc_norm,imu_bias_gyr_norm,imu_bias_acc_delta,imu_bias_gyr_delta,optical_flow_mean,optical_flow_median,depth_mean,depth_variance,num_triangulated,solver_initial_cost,solver_final_cost,solver_iterations,solver_converged,solver_time_ms,marginalization_factor_cost,imu_factor_cost,visual_factor_cost,visual_factor_count,visual_factor_cost_avg,imu_preint_cov_trace_mean,imu_preint_cov_trace_latest,visual_meas_cov_trace,imu_visual_pos_disagreement,imu_visual_vel_disagreement,cov_valid,cov_marginal,cov_compute_ms,cov_pos_x,cov_pos_y,cov_pos_z,cov_pos_trace,cov_rot_x,cov_rot_y,cov_rot_z,cov_rot_trace,cov_vel_x,cov_vel_y,cov_vel_z,cov_vel_trace,cov_ba_x,cov_ba_y,cov_ba_z,cov_ba_trace,cov_bg_x,cov_bg_y,cov_bg_z,cov_bg_trace
4.640000000,1,125,8.601275,0.532166,7.736264,11.000000,234,22,0.914062,70.809225,0.377157,0.002779,0.000000,0.000000,0.726110,0.747244,0.902858,2.520395,298,40551.51759427,20047.03713789,5,0,19.39606667,1164.58950226,6098.45979458,12783.98784105,2408,5.30896505,0.00018413,0.00000304,0.00000402,0.062714,1.569278,1,1,13.980262,0.000043,0.000034,0.000032,0.000063,0.000259,0.000107,0.000300,0.000410,0.000915,0.000795,0.000720,0.001410,0.000064,0.001701,0.000067,0.001704,0.000171,0.000171,0.000179,0.000301
4.720000000,1,126,1.299156,0.369172,4.304348,2.000000,113,143,0.441406,0.000000,0.836337,0.002181,0.000000,0.000000,0.701091,0.734839,21.774482,5289.079761,119,27384.72998638,4147.98519607,5,0,13.26894760,1272.80323798,2386.48597311,488.69598498,1154,0.42348006,0.00018413,0.00000304,0.00000402,0.062286,1.557098,1,1,10.026737,0.000106,0.000088,0.000083,0.000161,0.000265,0.000104,0.000306,0.000418,0.001372,0.001280,0.001245,0.002251,0.000120,0.001703,0.000062,0.001708,0.000170,0.000170,0.000177,0.000298
4.800000000,1,127,1.281357,0.854114,3.005464,2.000000,186,70,0.726562,65.825387,1.105598,0.002058,0.000000,0.000000,0.741621,0.754788,16.095607,3005.075421,225,126213.64660222,3887.07389326,5,0,7.79390335,1290.95246564,2351.82902786,244.29239976,557,0.43858600,0.00018413,0.00000304,0.00000402,0.062792,1.569811,1,1,8.163587,0.000194,0.000172,0.000164,0.000306,0.000279,0.000115,0.000317,0.000437,0.001752,0.001664,0.001617,0.002907,0.000158,0.001703,0.000066,0.001712,0.000169,0.000168,0.000176,0.000297
4.880000000,1,127,1.405915,1.116286,3.041995,3.000000,221,35,0.863281,0.000000,1.283834,0.001992,0.000000,0.000000,0.745421,0.755539,15.318677,8965.532987,279,206864.02305677,3967.29299709,5,0,6.41512871,1350.49573900,2357.46999405,259.32726404,436,0.59478730,0.00018413,0.00000304,0.00000402,0.062790,1.569763,1,1,7.844140,0.000299,0.000272,0.000259,0.000480,0.000284,0.000143,0.000326,0.000455,0.002094,0.002003,0.001924,0.003478,0.000184,0.001703,0.000076,0.001714,0.000168,0.000167,0.000175,0.000295
4.960000000,1,128,2.913626,0.950019,3.196602,3.000000,218,38,0.851562,66.584638,1.385414,0.002114,0.000000,0.000000,0.703556,0.741882,21.618869,16137.895905,282,274084.08118062,4983.68026102,5,0,9.75704193,1386.26999397,2462.40894546,1135.00132159,718,1.58078178,0.00018413,0.00000304,0.00000402,0.062769,1.569205,1,1,9.667963,0.000462,0.000382,0.000358,0.000698,0.000761,0.006014,0.000449,0.006078,0.003430,0.002323,0.002175,0.004679,0.000258,0.001701,0.000083,0.001723,0.000166,0.000166,0.000174,0.000292
5.040000000,1,129,1.080601,0.891153,3.125874,3.000000,190,66,0.742188,64.621456,1.481049,0.002100,0.000000,0.000000,0.754159,0.773044,12.550579,418.000588,269,329884.20620010,5369.55970003,5,0,10.24794579,1482.03529397,2445.58260760,1441.94179846,763,1.88983198,0.00018413,0.00000304,0.00000402,0.062810,1.570240,1,1,9.782456,0.006305,0.002991,0.018959,0.020203,0.000708,0.005458,0.000451,0.005522,0.003564,0.002601,0.002304,0.004977,0.000369,0.001693,0.000147,0.001739,0.000164,0.000165,0.000173,0.000290
5.120000000,1,130,0.990777,0.769728,3.241830,2.000000,208,48,0.812500,65.138577,1.513961,0.002155,0.000000,0.000000,0.773850,0.812003,16.942281,2189.830992,314,361832.77924308,6219.14551285,5,0,10.02717018,3755.94719082,2139.28772823,323.91059380,814,0.39792456,0.00000304,0.00000304,0.00000402,0.062879,1.572143,1,1,9.911924,0.006325,0.003010,0.018965,0.020217,0.000640,0.005411,0.000512,0.005473,0.003888,0.002833,0.002562,0.005450,0.000391,0.001694,0.000237,0.001755,0.000163,0.000164,0.000172,0.000288
5.200000000,1,131,1.032052,0.718804,3.469214,3.000000,223,33,0.871094,71.425599,1.532626,0.002218,0.000000,0.000000,0.790978,0.790073,19.000311,2106.601973,333,394818.82220394,8237.72497203,5,0,11.02304459,5667.06708071,2132.68140204,437.97648928,932,0.46993186,0.00000304,0.00000304,0.00000402,0.062654,1.566488,1,1,10.276171,0.006342,0.003033,0.018970,0.020231,0.000620,0.005367,0.000569,0.005433,0.003943,0.003044,0.002719,0.005675,0.000426,0.001690,0.000353,0.001778,0.000162,0.000162,0.000172,0.000286
5.280000000,1,133,1.309918,0.685564,3.737500,3.000000,217,39,0.847656,71.345192,1.541709,0.002312,0.000000,0.000000,0.733082,0.755291,29.014299,4356.676982,321,419759.72655610,10915.78605801,5,0,22.09115028,8089.59747646,1853.96595438,972.22262716,1126,0.86343040,0.00000304,0.00000304,0.00000402,0.062531,1.563456,1,1,14.845967,0.006353,0.003060,0.018976,0.020244,0.000613,0.005312,0.000610,0.005382,0.003986,0.003264,0.002860,0.005893,0.000484,0.001684,0.000494,0.001821,0.000160,0.000161,0.000171,0.000284
5.360000000,1,135,0.918006,0.716823,3.719057,3.000000,187,69,0.730469,66.688150,1.547623,0.002255,0.000000,0.000000,0.709551,0.759879,32.068368,4137.527477,326,436857.87225536,11325.68201579,5,0,26.07703209,9140.23042912,1821.34432620,364.10726047,1193,0.30520307,0.00000304,0.00000304,0.00000402,0.062464,1.561805,1,1,16.098573,0.006362,0.003087,0.018980,0.020254,0.000572,0.005276,0.000645,0.005346,0.004166,0.003464,0.002966,0.006177,0.000580,0.001678,0.000660,0.001894,0.000159,0.000161,0.000170,0.000283
5.440000000,1,137,0.927682,0.719638,3.849810,3.000000,206,50,0.804688,67.598907,1.537686,0.002228,0.000000,0.000000,0.512130,0.545331,65.291086,190743.209263,352,447737.26858718,11364.41842409,5,0,28.87320518,9195.39396953,1646.06749127,522.95696329,1269,0.41210163,0.00000304,0.00000304,0.00000402,0.062456,1.561521,1,1,16.282023,0.006368,0.003110,0.018986,0.020265,0.000537,0.005265,0.000649,0.005332,0.004368,0.003622,0.003161,0.006495,0.000711,0.001677,0.000854,0.002012,0.000158,0.000160,0.000169,0.000281
5.520000000,1,140,0.942157,0.717696,4.034026,3.000000,220,36,0.859375,52.123738,1.517357,0.002214,0.000000,0.000000,0.386205,0.389225,53.638305,106084.826527,360,448892.66535059,10728.96068393,5,0,30.11202812,8754.21559357,1501.25856696,473.48652340,1337,0.35414100,0.00000304,0.00000304,0.00000402,0.062423,1.560745,1,1,15.951313,0.006362,0.003129,0.018989,0.020269,0.000523,0.005244,0.000669,0.005313,0.004615,0.003839,0.003351,0.006875,0.000878,0.001677,0.001112,0.002195,0.000157,0.000158,0.000168,0.000279
5.600000000,1,141,0.918452,0.659891,4.149020,3.000000,220,36,0.859375,37.099598,1.484123,0.002224,0.000000,0.000000,0.221871,0.220846,75.306213,294696.460738,337,446303.95759935,9945.84738540,5,0,27.65703201,7875.12576811,1332.06535896,738.65625833,1383,0.53409708,0.00000304,0.00000304,0.00000402,0.062425,1.560806,1,1,15.759574,0.006312,0.003144,0.018968,0.020236,0.000509,0.005195,0.000669,0.005262,0.004814,0.004043,0.003434,0.007163,0.001096,0.001670,0.001552,0.002529,0.000155,0.000157,0.000167,0.000277
5.680000000,1,144,0.819015,0.680863,4.127572,3.000000,207,49,0.808594,22.562213,1.434884,0.002178,0.000000,0.000000,0.085463,0.078324,73.574846,260839.355538,305,436404.65135639,7904.22033541,5,0,26.38292313,6353.55607521,1088.91210133,461.75215887,1319,0.35007745,0.00000304,0.00000304,0.00000402,0.062428,1.560853,1,1,14.936428,0.006159,0.003165,0.018878,0.020108,0.000502,0.005139,0.000696,0.005210,0.004882,0.004214,0.003568,0.007371,0.001365,0.001670,0.002374,0.003207,0.000154,0.000155,0.000166,0.000275
